station_id,variable,flag_type,count,percentage
2789,temp,naught,0,0.0
2789,tmin,naught,0,0.0
2789,tmax,naught,0,0.0
2789,precip,naught,0,0.0
2789,snw_fall,naught,0,0.0
2789,snw_dpth,naught,0,0.0
2789,temp,range,0,0.0
2789,tmin,range,2,0.02
2789,tmax,range,7,0.07
2789,precip,range,7,0.07
2789,snw_fall,range,31,0.3
2789,snw_dpth,range,0,0.0
2789,temp,duplicate_years,0,0.0
2789,temp,duplicate_months_within_year,0,0.0
2789,temp,duplicate_months_across_years,0,0.0
2789,tmin,duplicate_years,0,0.0
2789,tmin,duplicate_months_within_year,0,0.0
2789,tmin,duplicate_months_across_years,0,0.0
2789,tmax,duplicate_years,0,0.0
2789,tmax,duplicate_months_within_year,0,0.0
2789,tmax,duplicate_months_across_years,0,0.0
2789,precip,duplicate_years,0,0.0
2789,precip,duplicate_months_within_year,0,0.0
2789,precip,duplicate_months_across_years,0,0.0
2789,snw_fall,duplicate_years,0,0.0
2789,snw_fall,duplicate_months_within_year,0,0.0
2789,snw_fall,duplicate_months_across_years,0,0.0
2789,snw_dpth,duplicate_years,0,0.0
2789,tmin_tmax,tmax_tmin_month_equal,0,0.0
2789,temp,missing,856,8.22
2789,tmin,missing,3828,36.74
2789,tmax,missing,3814,36.61
2789,precip,missing,1753,16.83
2789,snw_fall,missing,130,2.41
2789,snw_dpth,missing,153,2.84
2789,temp,streak,0,0.0
2789,tmin,streak,0,0.0
2789,tmax,streak,0,0.0
2789,precip,streak,37,0.36
2789,snw_fall,streak,0,0.0
2789,snw_dpth,streak,0,0.0
2789,temp,gap,1,0.01
2789,tmin,gap,0,0.0
2789,tmax,gap,2,0.02
2789,precip,gap,0,0.0
2789,snw_dpth,gap,0,0.0
2789,temp,climatological,4,0.04
2789,tmin,climatological,1,0.01
2789,tmax,climatological,2,0.02
2789,precip,climatological,7,0.07
2789,temp,inttemp_tas_basic,0,0.0
2789,tmax,inttemp_tas_basic,0,0.0
2789,tmin,inttemp_tas_basic,0,0.0
2789,temp,inttemp_tas_spike,0,0.0
2789,tmax,inttemp_tas_spike,0,0.0
2789,tmin,inttemp_tas_spike,0,0.0
2789,temp,inttemp_tas_lag,0,0.0
2789,tmax,inttemp_tas_lag,0,0.0
2789,tmin,inttemp_tas_lag,0,0.0
2789,snw_fall,inttemp_snow_warm,151,1.45
2789,snw_dpth,inttemp_snow_warm,45,0.43
2789,snw_fall,inttemp_snw_fall_depth,3,0.03
2789,snw_dpth,inttemp_snw_fall_depth,3,0.03
2789,snwd_prev,inttemp_snw_fall_depth,3,0.03
2789,snw_fall,inttemp_snow_precip,51,0.49
2789,snw_dpth,inttemp_snow_precip,1,0.01
2789,precip,inttemp_snow_precip,52,0.5
2789,snwd_prev,inttemp_snow_precip,1,0.01
2793,temp,naught,0,0.0
2793,tmin,naught,0,0.0
2793,tmax,naught,0,0.0
2793,precip,naught,0,0.0
2793,snw_fall,naught,0,0.0
2793,snw_dpth,naught,0,0.0
2793,temp,range,0,0.0
2793,tmin,range,2,0.02
2793,tmax,range,0,0.0
2793,precip,range,1,0.01
2793,snw_fall,range,2,0.02
2793,snw_dpth,range,0,0.0
2793,temp,duplicate_years,0,0.0
2793,temp,duplicate_months_within_year,0,0.0
2793,temp,duplicate_months_across_years,0,0.0
2793,tmin,duplicate_years,0,0.0
2793,tmin,duplicate_months_within_year,0,0.0
2793,tmin,duplicate_months_across_years,0,0.0
2793,tmax,duplicate_years,0,0.0
2793,tmax,duplicate_months_within_year,0,0.0
2793,tmax,duplicate_months_across_years,0,0.0
2793,precip,duplicate_years,0,0.0
2793,precip,duplicate_months_within_year,0,0.0
2793,precip,duplicate_months_across_years,0,0.0
2793,snw_fall,duplicate_years,0,0.0
2793,snw_fall,duplicate_months_within_year,0,0.0
2793,snw_fall,duplicate_months_across_years,0,0.0
2793,snw_dpth,duplicate_years,0,0.0
2793,tmin_tmax,tmax_tmin_month_equal,0,0.0
2793,temp,missing,539,6.03
2793,tmin,missing,3517,39.34
2793,tmax,missing,3517,39.34
2793,precip,missing,1452,16.24
2793,snw_fall,missing,198,4.59
2793,snw_dpth,missing,199,4.61
2793,temp,streak,0,0.0
2793,tmin,streak,0,0.0
2793,tmax,streak,0,0.0
2793,precip,streak,0,0.0
2793,snw_fall,streak,0,0.0
