station_id,variable,rating,years_covered,missing_rate_pct,flag_rate_pct,analysis_period_start,analysis_period_end,total_years,large_gaps
2657,temp,PROBLEMATIC,"[2020, 2021, 2022, 2023, 2024]",38.54,0.0,2020-01-09,2024-09-24,5,NO
2657,tmin,PROBLEMATIC,"[2020, 2021, 2022, 2023, 2024]",38.54,0.0,2020-01-09,2024-09-24,5,NO
2657,tmax,PROBLEMATIC,"[2020, 2021, 2022, 2023, 2024]",38.54,0.0,2020-01-09,2024-09-24,5,NO
2657,precip,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",19.81,0.0,2020-01-09,2026-05-06,7,NO
2657,snw_fall,UNUSABLE,"[2020, 2021]",,0.0,2020-01-09,2021-07-26,2,NO
2657,snw_dpth,UNUSABLE,"[2020, 2021]",,0.0,2020-01-09,2021-07-26,2,NO
2657,*** STATION OVERALL ***,❌❌ UNUSABLE STATION,N/A,,,2020-01-09,2021-07-26,N/A,N/A
2698,temp,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",6.79,0.09,2020-01-09,2026-05-06,7,NO
2698,tmin,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",6.79,0.09,2020-01-09,2026-05-06,7,NO
2698,tmax,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",6.79,0.09,2020-01-09,2026-05-06,7,NO
2698,precip,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",6.79,0.0,2020-01-09,2026-05-06,7,NO
2698,snw_fall,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",3.57,0.04,2020-01-09,2026-05-04,7,NO
2698,snw_dpth,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",4.58,0.04,2020-01-09,2026-05-04,7,NO
2698,*** STATION OVERALL ***,✅ GOOD QUALITY,N/A,,,2020-01-09,2026-05-04,N/A,N/A
2742,temp,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",4.46,0.2,2020-01-09,2026-05-06,7,NO
2742,tmin,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",4.46,0.12,2020-01-09,2026-05-06,7,NO
2742,tmax,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",4.46,0.16,2020-01-09,2026-05-06,7,NO
2742,precip,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",4.5,0.0,2020-01-09,2026-05-06,7,NO
2742,snw_fall,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",1.8,2.51,2020-01-09,2026-05-06,7,NO
2742,snw_dpth,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",3.07,0.17,2020-01-09,2026-05-06,7,NO
2742,*** STATION OVERALL ***,✅ GOOD QUALITY,N/A,,,2020-01-09,2026-05-06,N/A,N/A
2813,temp,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",14.01,0.43,2020-01-09,2026-05-06,7,NO
2813,tmin,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",14.01,0.52,2020-01-09,2026-05-06,7,NO
2813,tmax,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",14.01,0.39,2020-01-09,2026-05-06,7,NO
2813,precip,PROBLEMATIC,"[2020, 2021, 2022, 2023, 2024]",42.26,0.0,2020-07-25,2024-05-27,5,YES
2813,snw_fall,UNUSABLE,"[2020, 2021]",,0.0,2020-01-09,2021-07-26,2,NO
2813,snw_dpth,UNUSABLE,"[2020, 2021]",,0.0,2020-01-09,2021-07-26,2,NO
2813,*** STATION OVERALL ***,❌❌ UNUSABLE STATION,N/A,,,2020-01-09,2021-07-26,N/A,N/A
2864,temp,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",7.87,0.0,2020-01-09,2026-05-06,7,NO
2864,tmin,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",7.87,0.0,2020-01-09,2026-05-06,7,NO
2864,tmax,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",7.87,0.0,2020-01-09,2026-05-06,7,NO
2864,precip,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",8.26,0.0,2020-01-09,2026-05-06,7,NO
2864,snw_fall,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",6.59,0.17,2020-01-09,2026-05-06,7,NO
2864,snw_dpth,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",9.84,0.0,2020-01-09,2026-05-06,7,NO
2864,*** STATION OVERALL ***,✅ GOOD QUALITY,N/A,,,2020-01-09,2026-05-06,N/A,N/A
2869,temp,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",8.39,0.09,2020-01-09,2026-05-06,7,NO
2869,tmin,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",8.39,0.09,2020-01-09,2026-05-06,7,NO
2869,tmax,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",8.39,0.09,2020-01-09,2026-05-06,7,NO
2869,precip,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",8.39,0.0,2020-01-09,2026-05-06,7,NO
2869,snw_fall,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",2.15,0.0,2020-01-09,2026-05-06,7,NO
2869,snw_dpth,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",3.66,0.0,2020-01-09,2026-05-06,7,NO
2869,*** STATION OVERALL ***,✅ GOOD QUALITY,N/A,,,2020-01-09,2026-05-06,N/A,N/A
2901,temp,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",9.99,0.04,2020-01-09,2026-05-06,7,NO
2901,tmin,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",9.99,0.04,2020-01-09,2026-05-06,7,NO
2901,tmax,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",9.99,0.04,2020-01-09,2026-05-06,7,NO
2901,precip,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",10.73,0.0,2020-01-09,2026-05-06,7,NO
