station_id,native_id,min_obs_time,max_obs_time,history_id,station_name,lon,lat,elev,sdate,edate,tz_offset,freq
2654,11091,2001-01-22 13:00:00,2011-04-06 11:00:00,3397,Brandywine,-123.11806,50.05417,496.0,,,,1-hourly
2655,11092,2009-06-25 16:00:00,2011-04-06 11:00:00,3398,Tantalus,-123.14339,49.84347,320.0,,,,1-hourly
2657,11121,1993-12-22 16:00:00,2011-04-05 15:00:00,3400,Mt. Strachan Precip,-123.19144,49.40431,1220.0,,,,1-hourly
2658,11122,1984-01-01 02:00:00,2011-04-05 15:00:00,3401,Mt. Strachan,-123.19636,49.41003,1420.0,,,,1-hourly
2659,11123,1984-01-01 02:00:00,1998-04-08 13:00:00,3402,Mt. Harvey Raws,-123.18961,49.47889,1460.0,,,,1-hourly
2660,11124,1983-11-24 22:00:00,1998-10-14 15:00:00,3403,Alberta Creek  Raws,-123.22415,49.46517,670.0,,,,1-hourly
2661,11125,1983-11-29 13:00:00,2011-04-05 15:00:00,3404,Deeks Peak,-123.21833,49.53414,1280.0,,,,1-hourly
2662,11191,2009-06-22 08:00:00,2011-04-06 11:00:00,3405,Eagle Ridge,-123.26969,49.37186,140.0,,,,1-hourly
2667,15092,2005-09-28 21:00:00,2011-04-06 11:00:00,3410,Bradner Road,-122.42528,49.07556,110.0,,,,1-hourly
2668,15093,2002-08-19 15:00:00,2011-04-06 11:00:00,3411,Nicolum Creek,-121.35611,49.36306,244.0,,,,1-hourly
2671,15122,2007-07-12 10:00:00,2011-04-06 11:00:00,3414,Hells Gate Roadside,-121.41803,49.75703,280.0,,,,1-hourly
2672,15123,1977-01-04 08:00:00,2011-04-05 15:00:00,3415,Hells Gate,-121.42852,49.79229,1005.0,,,,1-hourly
2673,15124,1996-12-31 14:00:00,2011-04-06 11:00:00,3416,Jackass,-121.5475,50.07611,350.0,,,,1-hourly
2676,15321,1988-10-26 09:00:00,2011-04-05 15:00:00,3419,Foundation Mines,-121.08417,49.23,1650.0,,,,1-hourly
2677,15322,1991-12-09 11:00:00,2003-10-25 07:00:00,3420,Allison Pass Remote Raws,-120.87,49.11528,1340.0,,,,1-hourly
2678,15392,2003-01-02 17:00:00,2011-04-06 14:00:00,3421,Allison Pass,-120.86744,49.11564,1340.0,,,,1-hourly
2680,21091,2002-02-14 15:00:00,2011-04-06 14:00:00,3423,Walloper,-120.47833,50.52861,1300.0,,,,1-hourly
2682,21123,1999-10-29 07:00:00,2011-04-06 14:00:00,3425,Barriere,-120.13582,51.11271,390.0,,,,1-hourly
2687,22096,1999-05-25 13:00:00,2011-04-06 14:00:00,3430,Malakwa,-118.78861,50.93417,335.0,,,,1-hourly
2689,22123,1997-10-02 00:00:00,2011-04-06 14:00:00,3432,Squilax,-119.57111,50.87278,366.0,,,,1-hourly
2690,23097,1998-12-30 08:00:00,2011-04-06 14:00:00,3433,Kalamalka Lookout,-119.30607,50.2112,570.0,,,,1-hourly
2696,24126,1997-11-17 14:00:00,2011-04-05 15:00:00,3439,Apex Roadside,-119.9008,49.39693,1750.0,,,,1-hourly
2698,24225,1997-11-05 07:00:00,2011-04-06 14:00:00,3441,Red Bluffs,-120.62431,49.47619,830.0,,,,1-hourly
2702,25092,1998-11-10 08:00:00,2011-04-06 14:00:00,3445,Helmer Lake,-120.63661,50.32083,1385.0,,,,1-hourly
2703,25093,2000-10-05 17:00:00,2011-04-06 14:00:00,3446,Larson Hill,-120.935,49.83111,1060.0,,,,1-hourly
2710,25221,1995-10-20 10:00:00,2011-04-05 15:00:00,3453,Coquihalla Summit,-121.09948,49.5941,1230.0,,,,1-hourly
2711,25223,1986-06-05 00:00:00,1994-04-28 12:00:00,3454,Portia Raws,-121.22833,49.52222,1430.0,,,,1-hourly
2712,25225,1985-12-18 17:40:00,2011-04-05 16:00:00,3455,Great Bear,-121.17805,49.59582,1710.0,,,,1-hourly
2713,25226,1985-12-23 08:00:00,1994-04-28 13:00:00,3456,Nak Mid,-121.09083,49.60083,1700.0,,,,1-hourly
2714,25227,1986-06-05 00:00:00,1997-05-13 10:00:00,3457,Nak Peak,-121.0925,49.6075,2030.0,,,,1-hourly
2715,25229,1989-01-19 19:00:00,2011-04-05 16:00:00,3458,Little Bear,-121.17801,49.59924,1660.0,,,,1-hourly
2722,26123,1997-10-02 00:00:00,2011-04-05 16:00:00,3465,Carpenter Lake,-122.44533,50.84153,660.0,,,,1-hourly
2731,26221,1988-01-07 15:00:00,2011-04-05 16:00:00,3474,Blowdown Peak,-122.25556,50.40694,2320.0,,,,1-hourly
2732,26222,1988-01-07 17:00:00,2011-04-05 16:00:00,3475,Blowdown Mid,-122.26472,50.40222,1890.0,,,,1-hourly
2733,26224,1997-09-29 22:00:00,2011-04-05 16:00:00,3476,Cayoosh Summit,-122.47403,50.37978,1250.0,,,,1-hourly
2734,26501,2010-09-15 15:00:00,2011-04-05 16:00:00,3477,Fountain Slide,-121.86167,50.74,378.0,,,,1-hourly
2737,28093,2001-06-04 22:00:00,2011-04-06 14:00:00,3480,Begbie Summit,-121.37083,51.47611,1127.0,,,,1-hourly
2739,29092,1998-11-10 16:00:00,2011-04-06 14:00:00,3482,Pennask Summit,-120.01336,49.90672,1700.0,,,,1-hourly
2742,31091,2001-11-01 18:00:00,2011-04-06 14:00:00,3485,Hall Creek,-117.2425,49.37333,860.0,,,,1-hourly
2746,31321,2001-09-06 10:00:00,2011-04-05 16:00:00,3489,Southridge,-117.16111,49.41778,1990.0,,,,1-hourly
2751,32221,1999-10-21 14:00:00,2011-04-06 14:00:00,3494,Strawberry Pass,-117.89664,49.20444,1600.0,,,,1-hourly
2760,33093,2000-10-06 19:00:00,2011-04-06 14:00:00,3503,Anarchist Summit,-119.31361,49.00556,1097.0,,,,1-hourly
