station_id,canonical_variable,modern_vars_id,legacy_vars_id,overlap_count,mean_difference,median_absolute_difference,correlation
2654,air_temperature,721,434,27120,0.001887647492625364,0.02400000000000002,0.999994714369621
2654,daily_min_temperature,722,435,0,,,
2654,daily_max_temperature,720,433,0,,,
2654,precipitation_amount,726,442,27378,3.652567755131858e-06,0.0,0.999999647173496
2654,snowfall_amount,728,451,0,,,
2654,snow_depth,727,450,16361,0.01618916936617567,0.23000000000000043,0.9999436066999944
2655,air_temperature,721,434,27131,0.0024158711437101536,0.024999999999999467,0.9999934581050505
2655,daily_min_temperature,722,435,0,,,
2655,daily_max_temperature,720,433,0,,,
2655,precipitation_amount,726,442,27125,-3.686635944700461e-06,0.0,0.9999996659731951
2655,snowfall_amount,728,451,0,,,
2655,snow_depth,727,450,15047,0.028517113045789865,0.189,0.9998482106640086
2657,air_temperature,721,434,22646,0.0010578468603726955,0.024499999999999744,0.9999931058427758
2657,daily_min_temperature,722,435,0,,,
2657,daily_max_temperature,720,433,0,,,
2657,precipitation_amount,726,442,22252,0.0,0.0,1.0
2657,snowfall_amount,728,451,0,,,
2657,snow_depth,727,450,0,,,
