vars_id,network_id,net_var_name,unit,precision,standard_name,cell_method,long_description,display_name,short_name
445,2,ACTUAL_WIND_DIRECTION,degrees,,wind_from_direction,time: point,,Wind Direction (Point),wind_from_direction_point
444,2,ACTUAL_WIND_SPEED,,,wind_speed,time: point,,Wind Speed (Point),wind_speed_point
721,2,air_temp,celsius,,air_temperature,time: point,,Temperature (Mean),T
439,2,ATMOSPHERIC_PRESSURE,millibar,,air_pressure,time: point,,Air Pressure (Point),air_pressure_point
731,2,avg_wnd_dir_10m_pst10mts,degrees,,wind_from_direction,time: mean,,Wind Direction,wdir
729,2,avg_wnd_spd_10m_pst10mts,km/h,,wind_speed,time: mean,,Wind Speed,wind
434,2,CURRENT_AIR_TEMPERATURE1,celsius,,air_temperature,time: point,,Temperature (Point),air_temperature_point
436,2,CURRENT_AIR_TEMPERATURE2,celsius,,air_temperature,time: point,,Temperature (Point),air_temperature_point
438,2,DEW_POINT,celsius,,dew_point_temperature,time: mean,,Dew Point Temperature (Mean),dew_point_temperature_mean
724,2,dwpt_temp,celsius,,dew_point_temperature,time: point,,Dew Point Temperature,Td
450,2,HEIGHT_OF_SNOW,cm,,surface_snow_thickness,time: point,,Surface Snow Depth (Point),surface_snow_thickness_point
442,2,HOURLY_PRECIPITATION,mm,,lwe_thickness_of_precipitation_amount,t: sum within days interval: daily,,Precipitation Amount,lwe_thickness_of_precipitation_amount_sum
720,2,max_air_temp_snc_last_reset,celsius,,air_temperature,time: maximum,,Temperature (Max.),Tmax
433,2,MAXIMUM_AIR_TEMPERATURE,celsius,,air_temperature,time: maximum,,Temperature (Max.),air_temperature_maximum
449,2,MAXIMUM_MEASURED_WIND_SPEED1,km h-1,,wind_speed,time: maximum,,Wind Speed (Max.),wind_speed_maximum
730,2,max_wnd_spd_10m_pst1hr,km/h,,wind_speed,time: maximum,,Wind Gust,gust
447,2,MEASURED_WIND_DIRECTION1,degrees,,wind_from_direction,time: mean,,Wind Direction (Mean),wind_from_direction_mean
446,2,MEASURED_WIND_SPEED1,km h-1,,wind_speed,time: mean,,Wind Speed (Mean),wind_speed_mean
722,2,min_air_temp_snc_last_reset,celsius,,air_temperature,time: minimum,,Temperature (Min.),Tmin
435,2,MINIMUM_AIR_TEMPERATURE,celsius,,air_temperature,time: minimum,,Temperature (Min.),air_temperature_minimum
733,2,mslp,hPa,,air_pressure_at_mean_sea_level,time: point,,Sea Level Pressure,slp
726,2,pcpn_amt_pst1hr,mm,,lwe_thickness_of_precipitation_amount,time: sum (interval: 1 hour),,Precipitation Amount,ppt
732,2,pcpn_amt_pst24hrs,mm,,lwe_thickness_of_precipitation_amount,time: sum (interval: 24 hour),,Precipitation 24hr,ppt_24hr
564,2,Precip_Climatology,mm,,lwe_thickness_of_precipitation_amount,t: sum within months t: mean over years,Climatological mean of monthly total precipitation,Precipitation Climatology,lwe_thickness_of_precipitation_amountt: sum within months t: mean over years
443,2,PRECIP_DETECTOR_RATIO,1,,foo_bar,time: mean,,Rainfall Amount,
440,2,PRECIPITATION_GAUGE_TOTAL,mm,,lwe_thickness_of_precipitation_amount,t: sum over days interval: irregular,,Precipitation (Cumulative),lwe_thickness_of_precipitation_sum
441,2,PRECIPITATION_NEW,mm,,lwe_thickness_of_precipitation_amount,time: sum,,Precipitation Amount,lwe_thickness_of_precipitation_amount_sum
437,2,RELATIVE_HUMIDITY1,%,,relative_humidity,time: mean,,Relative Humidity (Mean),relative_humidity_mean
723,2,rel_hum,%,,relative_humidity,time: point,,Relative Humidity,RH
727,2,snw_dpth,cm,,surface_snow_thickness,time: point,,Snow Depth,SD
728,2,snwfl_amt_pst1hr,cm,,snowfall_amount,time: sum (interval: 1 hour),,Snowfall,snow
451,2,STANDARD_SNOW,cm,,thickness_of_snowfall_amount,time: sum,,Snowfall Amount,thickness_of_snowfall_amount_sum
725,2,stn_pres,hPa,,air_pressure,time: point,,Air Pressure,Air Pressure
563,2,T_mean_Climatology,celsius,,air_temperature,t: mean within days t: mean within months t: mean over years,Climatological mean of monthly mean of mean daily temperature,Temperature Climatology (Mean),air_temperaturet: mean within days t: mean within months t: mean over years
562,2,Tn_Climatology,celsius,,air_temperature,t: minimum within days t: mean within months t: mean over years,Climatological mean of monthly mean minimum daily temperature,Temperature Climatology (Min.),air_temperaturet: minimum within days t: mean within months t: mean over years
561,2,Tx_Climatology,celsius,,air_temperature,t: maximum within days t: mean within months t: mean over years,Climatological mean of monthly mean maximum daily temperature,Temperature Climatology (Max.),air_temperaturet: maximum within days t: mean within months t: mean over years
448,2,WIND_DIRECTION_STD_DEVIATION1,degrees,,wind_from_direction,time: standard_deviation,,Wind Direction (Std Dev),wind_from_direction_standard_deviation
