station_id,variable,rating,years_covered,missing_rate_pct,flag_rate_pct,analysis_period_start,analysis_period_end,total_years,large_gaps
2657,temp,PROBLEMATIC,"[2020, 2021, 2022, 2023, 2024]",40.37,0.0,2020-01-09,2024-09-24,5,NO
2657,tmin,PROBLEMATIC,"[2020, 2021, 2022, 2023, 2024]",40.37,0.0,2020-01-09,2024-09-24,5,NO
2657,tmax,PROBLEMATIC,"[2020, 2021, 2022, 2023, 2024]",40.37,0.0,2020-01-09,2024-09-24,5,NO
2657,precip,CAUTION,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",21.28,0.0,2020-01-09,2026-07-16,7,NO
2657,snw_fall,UNUSABLE,"[2020, 2021]",,0.0,2020-01-09,2021-07-26,2,NO
2657,snw_dpth,UNUSABLE,"[2020, 2021]",,0.0,2020-01-09,2021-07-26,2,NO
2657,*** STATION OVERALL ***,❌❌ UNUSABLE STATION,N/A,,,2020-01-09,2021-07-26,N/A,N/A
2901,temp,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",10.03,0.04,2020-01-09,2026-07-16,7,NO
2901,tmin,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",10.03,0.04,2020-01-09,2026-07-16,7,NO
2901,tmax,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",10.03,0.04,2020-01-09,2026-07-16,7,NO
2901,precip,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",10.74,0.0,2020-01-09,2026-07-16,7,NO
2901,snw_fall,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",9.63,0.3,2020-01-09,2026-04-27,7,NO
2901,snw_dpth,GOOD,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",12.59,0.13,2020-01-09,2026-04-27,7,NO
2901,*** STATION OVERALL ***,✅ GOOD QUALITY,N/A,,,2020-01-09,2026-04-27,N/A,N/A
