Site,Date,Dy,Solar,Reflect,Tave,Tmax,Tmin,RHave,RHmin,Wind,WindMax,Precip,SnowD,Tsnow,IRTSurfA,IRTSurfX,IRTSurfN,Tsoil005,Tsoil15,Tsoil50,SoilH2O,Vapres,vpdX,ClrSky
P1,1-Jan-19,1,0.64,NA,-5.5,-0.7,-9.5,87.5,79.7,0,0,0,0.7,-1,NA,NA,NA,-0.1,0.5,1.1,NA,0.461,0.117,5.14
P1,2-Jan-19,2,0.42,NA,-8,-6.9,-9.6,90.7,87.8,0,0,0,0.679,-1,NA,NA,NA,-0.1,0.4,1,NA,0.32,0.044,5.18
P1,3-Jan-19,3,0.43,NA,-3.4,0.5,-7.1,93.8,90.9,0.1,2.3,2,0.669,-0.9,NA,NA,NA,0,0.5,1.1,NA,0.573,0.057,5.22
P1,4-Jan-19,4,3.19,NA,-3,0.8,-9.9,89,74,0.1,2.6,0,0.641,-0.8,NA,NA,NA,-0.1,0.5,1.1,NA,0.477,0.168,5.27
P1,5-Jan-19,5,2.04,NA,-2.3,0.6,-6.9,88.6,79.1,0,1,0,0.642,-0.9,NA,NA,NA,0,0.5,1.1,NA,0.503,0.133,5.32
P1,6-Jan-19,6,3.15,NA,-5.2,-1.2,-14.2,83.9,63.2,0,1.6,0,0.635,-0.8,NA,NA,NA,-0.1,0.4,1,NA,0.353,0.206,5.37
P1,7-Jan-19,7,3.11,NA,-9.6,-4.8,-18.2,79.4,55.5,0,1.7,0.6,0.632,-1.1,NA,NA,NA,-0.1,0.4,1,NA,0.237,0.19,5.43
P1,8-Jan-19,8,1.75,NA,-10.6,-6,-19.1,79.2,40.2,0.1,1.1,3.2,0.66,-1.5,NA,NA,NA,-0.1,0.4,1,NA,0.157,0.234,5.49
P1,9-Jan-19,9,0.74,NA,-2.1,0.6,-6.1,91.9,87.5,0.2,2.3,0,0.659,-1.5,NA,NA,NA,-0.1,0.5,1,NA,0.557,0.08,5.56
P1,10-Jan-19,10,3.29,NA,-1.4,2.1,-3.7,94.4,81.8,0.3,1.5,0,0.643,-1.1,NA,NA,NA,-0.1,0.5,1,NA,0.58,0.129,5.63
P1,11-Jan-19,11,2.75,NA,-2.3,0.5,-4.1,93.2,89.6,0.5,1.8,0,0.623,-0.9,NA,NA,NA,0,0.4,1,NA,0.567,0.066,5.7
P1,12-Jan-19,12,3.83,NA,-3.8,0.7,-8.5,88.1,74.3,0.2,1.3,0,0.626,-0.9,NA,NA,NA,0,0.4,1,NA,0.476,0.165,5.77
P1,13-Jan-19,13,4.79,NA,-5.8,3,-10.5,86.2,55.3,0,1.5,0,0.616,-1.2,NA,NA,NA,-0.1,0.4,1,NA,0.419,0.339,5.85
P1,14-Jan-19,14,4.81,NA,-7.1,4.8,-14,82.3,37.7,0,1.1,0,0.615,-1.6,NA,NA,NA,-0.1,0.4,0.9,NA,0.323,0.534,5.93
P1,15-Jan-19,15,4.81,NA,-7.4,1.7,-12.4,77.8,46.5,0,0.7,0,0.616,-2,NA,NA,NA,-0.1,0.4,0.9,NA,0.32,0.368,6.02
P1,16-Jan-19,16,2.44,NA,-3.6,-0.2,-8.2,80.2,66.2,0,0,0,0.615,-2,NA,NA,NA,-0.1,0.4,1,NA,0.399,0.204,6.11
P1,17-Jan-19,17,0.61,NA,-2,-0.3,-4.1,89.1,80.3,0,1,2.7,0.626,-1.5,NA,NA,NA,-0.1,0.4,1,NA,0.48,0.118,6.2
P1,18-Jan-19,18,1.01,NA,-3.6,-0.9,-5.8,91,85,0,0.5,0.6,0.63,-1.2,NA,NA,NA,-0.1,0.4,1,NA,0.486,0.086,6.3
P1,19-Jan-19,19,4.76,NA,-3.4,1.5,-9.1,86.8,63.6,0,1.1,3.6,0.651,-1,NA,NA,NA,-0.1,0.4,0.9,NA,0.434,0.248,6.4
P1,20-Jan-19,20,2.95,NA,-8.2,-2.8,-12.7,88,75.1,0,0,0,0.645,-1.1,NA,NA,NA,-0.1,0.4,0.9,NA,0.374,0.124,6.51
P1,21-Jan-19,21,1.21,NA,-9.6,-4.7,-15.7,84.9,76.4,0,0.5,0,0.639,-1.5,-13.2,-6.3,-19.3,-0.1,0.4,0.9,NA,0.328,0.101,6.61
P1,22-Jan-19,22,0.42,NA,-7.5,-5.9,-12.8,90.4,85.7,0,0,12.4,0.742,-1.7,-9.2,-6.9,-15.5,-0.1,0.4,0.9,NA,0.337,0.056,6.73
P1,23-Jan-19,23,0.99,NA,-5.8,-1.4,-10.4,89.6,80.5,0,1.4,9.2,0.815,-1.6,NA,NA,NA,-0.1,0.4,0.9,NA,0.444,0.108,6.84
P1,24-Jan-19,24,4.65,NA,-3.6,2.4,-10.5,82,50.4,0,1.7,0,0.785,-1.4,NA,NA,NA,-0.1,0.4,0.9,NA,0.367,0.361,6.96
P1,25-Jan-19,25,5.68,NA,-2,3.5,-8.9,79.9,56.1,0.1,1.8,0,0.768,-1.3,NA,NA,NA,-0.1,0.4,0.9,NA,0.441,0.345,7.09
P1,26-Jan-19,26,6.17,NA,-0.2,10.3,-6.2,84.1,45.4,0,0.8,0,0.754,-1.2,NA,NA,NA,-0.1,0.4,0.9,NA,0.569,0.684,7.21
P1,27-Jan-19,27,6.58,NA,-0.8,4.6,-12.6,62.7,43.3,0,1.1,2.5,0.764,-1,NA,NA,NA,-0.1,0.4,0.9,NA,0.367,0.481,7.34
P1,28-Jan-19,28,4.97,NA,-10.2,-0.9,-15.8,76.6,38,0,0.5,0,0.747,-1,NA,NA,NA,-0.1,0.3,0.8,NA,0.217,0.354,7.47
P1,29-Jan-19,29,6.85,NA,-9.9,4.2,-17.9,65.8,14,0,0.5,0,0.735,-1.3,NA,NA,NA,-0.1,0.3,0.8,NA,0.115,0.706,7.61
P1,30-Jan-19,30,3.84,NA,-4.6,4,-14.4,66.1,29.8,0.1,1.9,0,0.737,-1.6,NA,NA,NA,-0.1,0.4,0.9,NA,0.242,0.57,7.75
P1,31-Jan-19,31,2.58,NA,-2.7,1.7,-5.2,74.7,56.7,0.1,1.1,0,0.721,-1.5,NA,NA,NA,-0.1,0.4,0.9,NA,0.392,0.299,7.9
P1,1-Feb-19,32,4.09,NA,-2.2,0.7,-4.2,86,69.4,0.3,2,0,0.719,-1.2,NA,NA,NA,-0.1,0.4,0.9,NA,0.444,0.196,8.04
P1,2-Feb-19,33,5.78,NA,-3.8,0.9,-11.2,78.9,52.4,0.4,2.9,2.7,0.751,-1,NA,NA,NA,-0.1,0.3,0.9,NA,0.341,0.31,8.2
P1,3-Feb-19,34,5.26,NA,-15.5,-8.5,-23.9,77.9,61,0.2,2.4,0,0.74,-1,NA,NA,NA,-0.1,0.3,0.8,NA,0.196,0.125,8.35
P1,4-Feb-19,35,6.65,NA,-22.5,-18.5,-24.8,71.9,65.2,0,1,0,0.763,-1.2,NA,NA,NA,-0.1,0.3,0.7,NA,0.092,0.049,8.52
P1,5-Feb-19,36,7.3,NA,-19,-13.3,-26.6,63.8,38.3,0.1,2.5,0,0.709,-1.6,NA,NA,NA,-0.2,0.3,0.7,NA,0.084,0.135,8.68
P1,6-Feb-19,37,8.43,NA,-19.5,-11.3,-23.8,70.4,47.2,0.1,1.2,0,0.705,-2.1,NA,NA,NA,-0.2,0.2,0.7,NA,0.121,0.135,8.85
P1,7-Feb-19,38,4.01,NA,-14.2,-7,-23.8,72.5,38.8,0,1.4,3.2,0.733,-2.5,NA,NA,NA,-0.2,0.3,0.8,NA,0.14,0.221,9.02
P1,8-Feb-19,39,1.14,NA,-13.4,-11.3,-16.7,82.2,75.8,0.1,2.1,7.4,0.789,-2.5,NA,NA,NA,-0.2,0.3,0.8,NA,0.195,0.062,9.19
P1,9-Feb-19,40,6.4,NA,-17.6,-15,-19.9,78.8,75.7,0,0.5,1.4,0.798,-2.2,NA,NA,NA,-0.3,0.2,0.7,NA,0.144,0.046,9.37
P1,10-Feb-19,41,7.49,NA,-18.2,-11.6,-26.2,76.6,62.8,0,0.5,0,0.796,-2.1,NA,NA,NA,-0.3,0.2,0.7,NA,0.157,0.093,9.55
P1,11-Feb-19,42,2.89,NA,-16.5,-10.5,-27.7,77,67.5,0,1.1,0.6,0.804,-2.2,NA,NA,NA,-0.3,0.2,0.7,NA,0.185,0.089,9.74
P1,12-Feb-19,43,0.7,NA,-11.8,-8,-17.9,84,78,0,1,7.6,0.867,-2.2,NA,NA,NA,-0.3,0.2,0.7,NA,0.26,0.073,9.92
P1,13-Feb-19,44,1.66,NA,-13,-5.3,-19.1,80.2,63.7,0,1,2.5,0.867,-2.1,NA,NA,NA,-0.3,0.2,0.7,NA,0.262,0.149,10.12
P1,14-Feb-19,45,1.38,NA,-7.8,-4.1,-14.8,80.8,50.7,0,0.6,3.1,0.889,-1.9,NA,NA,NA,-0.3,0.2,0.7,NA,0.229,0.223,10.31
P1,15-Feb-19,46,2.6,NA,-5.2,-1.1,-8.8,88.6,75.7,0,0,2.5,0.91,-1.9,NA,NA,NA,-0.3,0.2,0.7,NA,0.425,0.136,10.51
P1,16-Feb-19,47,1.84,NA,-6.1,-2.7,-10.6,84.8,63.9,0,0,0,0.891,-1.6,NA,NA,NA,-0.2,0.2,0.7,NA,0.321,0.181,10.71
P1,17-Feb-19,48,1.94,NA,-9.9,-6.7,-16.7,87.7,80.3,0,1.6,6.1,0.926,-1.4,NA,NA,NA,-0.2,0.2,0.7,NA,0.296,0.073,10.91
P1,18-Feb-19,49,6.94,NA,-12.7,-6.7,-19.2,80.1,60.2,0.1,1.8,0,0.895,-1.3,NA,NA,NA,-0.2,0.1,0.6,NA,0.223,0.147,11.13
P1,19-Feb-19,50,2.75,NA,-7.8,-4.6,-12.9,86.8,78,0.5,2.6,8.9,0.962,-1.2,NA,NA,NA,-0.2,0.2,0.6,NA,0.338,0.095,11.33
P1,20-Feb-19,51,2.08,NA,-8.4,-6.3,-9.4,86,75.4,0.7,2.6,1.2,0.974,-1.2,NA,NA,NA,-0.2,0.2,0.6,NA,0.288,0.094,11.55
P1,21-Feb-19,52,2.35,NA,-10.6,-5.1,-17.2,83.3,60.1,0.4,1.8,2.7,0.965,-1.1,NA,NA,NA,-0.2,0.2,0.6,NA,0.252,0.167,11.76
P1,22-Feb-19,53,1.09,NA,-9.8,-7.2,-14.7,85.8,78.9,0.3,2,11.2,1.058,-1,NA,NA,NA,-0.2,0.2,0.6,NA,0.28,0.075,11.98
P1,23-Feb-19,54,0.88,NA,-8.6,-4.7,-12.3,85,67.7,0.2,1.4,0,1.033,-1,NA,NA,NA,-0.2,0.2,0.6,NA,0.292,0.139,12.21
P1,24-Feb-19,55,2.21,NA,-10.2,-6.4,-14,83.2,69.1,0.6,2.4,0,1,-0.9,NA,NA,NA,-0.2,0.2,0.6,NA,0.261,0.117,12.42
P1,25-Feb-19,56,5.73,NA,-13.1,-10.1,-16.7,81.3,70.2,0.7,2.2,0,0.996,-0.9,NA,NA,NA,-0.2,0.1,0.6,NA,0.199,0.084,12.65
P1,26-Feb-19,57,12.22,NA,-15.3,-6.9,-21.6,72.4,47.2,0.3,1.5,0,0.949,-0.9,NA,NA,NA,-0.2,0.1,0.6,NA,0.172,0.192,12.88
P1,27-Feb-19,58,4.89,NA,-9.7,-4.1,-19.4,70.9,30.3,0.6,2,0,0.927,-0.9,NA,NA,NA,-0.1,0.2,0.6,NA,0.136,0.313,13.12
P1,28-Feb-19,59,1.34,NA,-8,-5.3,-9.9,85.6,72.2,0.6,2.4,9.8,1.023,-0.9,NA,NA,NA,-0.1,0.2,0.6,NA,0.297,0.114,13.35
P1,1-Mar-19,60,2.78,NA,-8.4,-2.8,-11.5,80.4,54.7,0.5,2.2,0,0.985,-0.9,NA,NA,NA,-0.1,0.2,0.6,NA,0.272,0.225,13.59
P1,2-Mar-19,61,4.73,NA,-13.8,-8.5,-20.8,78.5,65.6,0.6,1.9,0,0.976,-0.9,NA,NA,NA,-0.2,0.1,0.6,NA,0.21,0.11,13.82
P1,3-Mar-19,62,10.9,NA,-17.1,-5.7,-24.7,69.1,34.1,0.4,2.2,0,0.968,-1,NA,NA,NA,-0.2,0.1,0.5,NA,0.136,0.263,14.07
P1,4-Mar-19,63,13.67,NA,-16,-3.9,-25.9,63.1,29.9,0.4,2.2,0,0.964,-1,NA,NA,NA,-0.2,0.1,0.5,NA,0.137,0.321,14.31
P1,5-Mar-19,64,11.5,NA,-7.8,-1.6,-20.4,66,39.8,0.2,2.7,0,0.947,-1.1,NA,NA,NA,-0.1,0.2,0.6,NA,0.216,0.327,14.55
P1,6-Mar-19,65,6.9,NA,-3.8,0.2,-6.3,83.4,65.7,0,0.9,8.7,1.025,-1.2,NA,NA,NA,-0.1,0.2,0.6,NA,0.407,0.212,14.8
