Site,Date,Dy,Solar,Reflect,Tave,Tmax,Tmin,RHave,RHmin,Wind,WindMax,Precip,SnowD,Tsnow,IRTSurfA,IRTSurfX,IRTSurfN,Tsoil005,Tsoil15,Tsoil50,SoilH2O,Vapres,vpdX,ClrSky
PB,1-Jan-19,1,1.7,1.53,-5.3,-1.7,-8.9,92.5,89.5,0.7,3.1,0,0.894,-1,-5.7,-0.4,-8.9,0.1,1.3,2.1,NA,0.481,0.056,5.18
PB,2-Jan-19,2,1.28,1.22,-4.1,-1.1,-9.1,93.6,89.5,1.1,3.9,0,0.871,-0.9,-4.8,-1.4,-9.6,0.1,1.3,2.1,NA,0.505,0.059,5.22
PB,3-Jan-19,3,1.15,1.06,-2.8,-0.9,-5.5,94.7,92,1.9,5.1,2,0.863,-0.8,-3.2,-0.6,-6.3,0.1,1.3,2.1,NA,0.525,0.046,5.26
PB,4-Jan-19,4,4.38,3.93,-3.4,0.5,-6.9,93.5,89.7,1.8,5.1,0,0.841,-0.7,-5.5,-1.1,-11.3,0.1,1.2,2.1,NA,0.566,0.065,5.31
PB,5-Jan-19,5,1.68,1.33,-4.3,-1.9,-5.6,93.6,92.7,2.2,6.5,0,0.829,-0.7,-4.9,-1.4,-6.5,0.1,1.2,2.1,NA,0.491,0.039,5.36
PB,6-Jan-19,6,4.08,2.91,-6.3,-3.3,-10.4,90.4,74,1.9,5.4,0,0.821,-0.7,-8.1,-3.8,-15.5,0.1,1.2,2,NA,0.354,0.124,5.41
PB,7-Jan-19,7,5.05,3.97,-10.2,-6.7,-15.4,83.7,65.5,1.5,5.5,0.9,0.823,-0.9,-12.4,-7.5,-20.7,0.1,1.2,2,NA,0.242,0.127,5.47
PB,8-Jan-19,8,1.86,1.47,-11.4,-7.1,-15.6,78.7,50.4,2.4,6.1,3.6,0.861,-1.3,-12.7,-6.1,-20.4,0.1,1.1,2,NA,0.18,0.177,5.53
PB,9-Jan-19,9,1.3,1.01,-3.7,-1.3,-7.5,94,90.9,2.1,5.3,0,0.849,-1.4,-4,-1.4,-8,0.1,1.2,2,NA,0.503,0.05,5.6
PB,10-Jan-19,10,4.67,3.2,-2.5,1.6,-4.6,94.6,89.8,1.2,3.6,0,0.844,-1.1,-3.8,2.7,-8,0.1,1.2,2,NA,0.618,0.07,5.67
PB,11-Jan-19,11,2.44,2.31,-3.5,0.1,-5.1,94.1,93.1,1.7,4.4,0,0.843,-0.9,-4.6,-0.4,-7.1,0.1,1.2,2,NA,0.574,0.043,5.74
PB,12-Jan-19,12,4.83,2.86,-3.3,-0.4,-4.4,85.4,60.2,1.7,3.9,0,0.816,-0.9,-6,-2.6,-8.2,0.1,1.2,2,NA,0.357,0.236,5.82
PB,13-Jan-19,13,5.89,4.14,-0.9,8.2,-4.8,67.6,31,1.2,2.8,0,0.809,-0.9,-4.6,3.1,-8.5,0.1,1.2,2,NA,0.337,0.75,5.89
PB,14-Jan-19,14,6.26,4.24,0.2,10.5,-4.4,44,10.5,1.1,2.6,0,0.801,-1,-5.2,2.8,-9.5,0.1,1.2,2,NA,0.133,1.134,5.98
PB,15-Jan-19,15,5.64,3.96,-2.1,4.5,-5.8,45.6,23.6,1.5,4.3,0,0.796,-1.2,-6.8,0,-12,0.1,1.2,2,NA,0.199,0.644,6.07
PB,16-Jan-19,16,2.37,1.67,-5.2,-1.5,-7.4,85,70.3,2.3,5.2,0,0.787,-1.3,-5.9,-1.1,-8.7,0.1,1.2,1.9,NA,0.384,0.162,6.15
PB,17-Jan-19,17,1.53,1.23,-4.3,-3.1,-5.3,93.5,92.7,1.4,4.1,4.7,0.828,-1.1,-4.9,-3.1,-8.7,0.1,1.2,1.9,NA,0.449,0.035,6.25
PB,18-Jan-19,18,2.37,2.25,-4.5,-2,-5.7,92.7,88.8,1.3,5.6,3.8,0.863,-1,-6.1,-3.5,-10.1,0.1,1.1,1.9,NA,0.467,0.059,6.35
PB,19-Jan-19,19,5.19,4.46,-4.8,-1.8,-7.7,93,91.1,2,6.4,3.3,0.878,-0.9,-6.3,-1.5,-12.4,0.1,1.1,1.9,NA,0.487,0.048,6.45
PB,20-Jan-19,20,3.03,2.48,-7.9,-5.3,-10,90.8,89.3,1.3,4.2,0,0.865,-0.9,-10.1,-5.2,-14.7,0.1,1.1,1.9,NA,0.369,0.044,6.55
PB,21-Jan-19,21,6.89,5.11,-9.1,-6.1,-11.5,89.6,88,1.1,4.3,0,0.849,-1.1,-10.9,-3.9,-15.6,0.1,1.1,1.9,NA,0.341,0.047,6.66
PB,22-Jan-19,22,1.43,1.36,-7.2,-4.8,-9.4,91.1,89.4,1,3.2,10.2,0.943,-1.3,-7.7,-5.2,-11.4,0.1,1.1,1.9,NA,0.382,0.045,6.77
PB,23-Jan-19,23,2.81,2.67,-6.8,-5.1,-8.4,91.5,90.4,1.2,4.1,7.1,0.993,-1.3,-7.6,-4.1,-12.2,0.1,1.1,1.9,NA,0.378,0.04,6.89
PB,24-Jan-19,24,5.49,4.57,-4.2,-1.2,-6.8,87.5,71.4,1,3.5,0,0.96,-1.1,-5.8,-1.6,-11,0.1,1.1,1.9,NA,0.399,0.16,7.01
PB,25-Jan-19,25,7.12,5.11,-2.5,1,-5.7,79.2,61.9,1.3,3.9,0,0.949,-1,-4,1.4,-10.2,0.1,1.1,1.9,NA,0.406,0.25,7.13
PB,26-Jan-19,26,6.65,4.71,2.6,10.2,-1.3,61.5,40.5,1,5.8,0,0.935,-0.8,-1.2,6.9,-6.4,0.1,1.1,1.9,NA,0.505,0.742,7.26
PB,27-Jan-19,27,7.33,5.19,-2.6,4.1,-9.9,66.8,51.2,1.9,6.8,0,0.924,-0.7,-5.5,1.6,-15.6,0.1,1.1,1.9,NA,0.42,0.4,7.39
PB,28-Jan-19,28,5.24,3.92,-7.4,-0.4,-11.4,57.7,23.2,0.9,3.5,0,0.906,-0.8,-11.8,-2.2,-16.5,0.1,1.1,1.8,NA,0.138,0.457,7.52
PB,29-Jan-19,29,7.72,5.4,-4,5.2,-10.1,29.6,6.8,0.8,2.1,0,0.897,-1,-10.3,-0.2,-16.4,0.1,1.1,1.8,NA,0.06,0.822,7.66
PB,30-Jan-19,30,4.35,3.32,-0.6,4.4,-6.2,39.4,16.6,1.1,3.7,0,0.898,-1.3,-3.2,2.8,-12.5,0.1,1.1,1.8,NA,0.138,0.693,7.8
PB,31-Jan-19,31,2.58,1.88,0.3,2.8,-1.5,66.1,51.3,1.1,2.9,0,0.872,-1.2,-1.6,1.2,-4.1,0.1,1.1,1.8,NA,0.384,0.365,7.95
PB,1-Feb-19,32,3.99,2.95,-2,0,-4,83.7,67,1.8,4.4,1,0.883,-0.9,-3,-1.2,-5.4,0.1,1.1,1.8,NA,0.41,0.202,8.1
PB,2-Feb-19,33,6.92,4.72,-4.7,1,-8.6,81.3,50.6,1.7,5.4,1.7,0.898,-0.7,-6.9,1.1,-13.4,0.1,1.1,1.8,NA,0.333,0.325,8.25
PB,3-Feb-19,34,5.14,3.89,-12.4,-5.8,-21.2,81.6,51.3,0.6,4.4,0,0.894,-0.8,-12.2,-4.7,-20.8,0,1,1.7,NA,0.203,0.193,8.41
PB,4-Feb-19,35,7.29,5.62,-21.8,-18.6,-26,74.2,60.6,4.9,7.8,0,0.893,-1,-21.9,-16.8,-25.7,-0.1,0.9,1.6,NA,0.085,0.055,8.57
