Site,Date,Dy,Solar,Reflect,Tave,Tmax,Tmin,RHave,RHmin,Wind,WindMax,Precip,SnowD,Tsnow,IRTSurfA,IRTSurfX,IRTSurfN,Tsoil005,Tsoil15,Tsoil50,SoilH2O,Vapres,vpdX,ClrSky
PC,1-Jan-19,1,NA,NA,-5.5,-3.1,-9.1,90,77.3,NA,NA,NA,0.751,-0.6,-6.1,-3.6,-9.6,-0.1,0.4,1.2,NA,0.374,0.11,5.18
PC,2-Jan-19,2,NA,NA,-4.5,-1.4,-9.3,92.3,87.3,NA,NA,NA,0.721,-0.6,-5,-2.4,-9.1,-0.1,0.4,1.2,NA,0.481,0.07,5.22
PC,3-Jan-19,3,NA,NA,-3.3,-1.4,-6.2,94,91.3,NA,NA,NA,0.725,-0.5,-3.8,-2,-6.4,-0.1,0.4,1.2,NA,0.504,0.048,5.26
PC,4-Jan-19,4,NA,NA,-3.9,-2.1,-6.5,93,88.8,NA,NA,NA,0.71,-0.4,-5.1,-2.6,-8.1,0,0.4,1.2,NA,0.466,0.059,5.31
PC,5-Jan-19,5,NA,NA,-4.5,-3,-5.6,93.1,92.3,NA,NA,NA,0.714,-0.4,-5,-3.3,-6.2,0,0.4,1.2,NA,0.451,0.038,5.36
PC,6-Jan-19,6,NA,NA,-6.5,-3.8,-10.3,90.6,84.8,NA,NA,NA,0.706,-0.4,-7.4,-4.3,-11.6,0,0.4,1.2,NA,0.392,0.07,5.41
PC,7-Jan-19,7,NA,NA,-10.5,-8.5,-14.5,85.7,74.1,NA,NA,NA,0.665,-0.5,-11.3,-9,-15.8,-0.1,0.4,1.1,NA,0.237,0.083,5.47
PC,8-Jan-19,8,NA,NA,-12,-7.9,-15.3,85.2,73.8,NA,NA,NA,0.738,-0.7,-12.5,-8.1,-16.6,-0.1,0.4,1.1,NA,0.249,0.088,5.53
PC,9-Jan-19,9,NA,NA,-4.2,-1.5,-7.9,93.5,90.5,NA,NA,NA,0.716,-0.8,-4.7,-2.3,-8.3,-0.1,0.4,1.1,NA,0.494,0.052,5.6
PC,10-Jan-19,10,NA,NA,-2.9,-0.3,-4.5,94.2,92.9,NA,NA,NA,0.718,-0.7,-4.1,-1.4,-5.6,0,0.4,1.2,NA,0.557,0.043,5.67
PC,11-Jan-19,11,NA,NA,-3.8,-2.1,-5.1,93.5,92.5,NA,NA,NA,0.694,-0.6,-4.6,-2.8,-5.9,-0.1,0.4,1.1,NA,0.485,0.039,5.74
PC,12-Jan-19,12,NA,NA,-4.2,-2.4,-5.1,92.9,91.7,NA,NA,NA,0.698,-0.5,-5.6,-4.1,-6.5,0,0.4,1.1,NA,0.47,0.043,5.82
PC,13-Jan-19,13,NA,NA,-2.9,1.7,-5.3,89.8,81.9,NA,NA,NA,0.695,-0.5,-4.4,-0.5,-6.4,0,0.4,1.1,NA,0.567,0.125,5.89
PC,14-Jan-19,14,NA,NA,-1.7,2.4,-4.4,62.9,35.3,NA,NA,NA,0.684,-0.5,-4.4,-0.6,-6.1,0,0.4,1.1,NA,0.257,0.471,5.98
PC,15-Jan-19,15,NA,NA,-4.7,-0.9,-7.4,73.3,49.9,NA,NA,NA,0.678,-0.5,-6.6,-2.8,-8.7,0,0.4,1.1,NA,0.285,0.286,6.07
PC,16-Jan-19,16,NA,NA,-5.8,-3.3,-7.7,89,80.4,NA,NA,NA,0.672,-0.6,-6.2,-4,-8.2,0,0.4,1.1,NA,0.385,0.094,6.15
PC,17-Jan-19,17,NA,NA,-4.6,-3.6,-5.6,93.3,92.2,NA,NA,NA,0.665,-0.6,-5,-4,-6.5,0,0.4,1.1,NA,0.433,0.037,6.25
PC,18-Jan-19,18,NA,NA,-4.8,-3.4,-6,92.5,90.2,NA,NA,NA,0.716,-0.6,-5.6,-4.5,-6.9,0,0.4,1.1,NA,0.428,0.047,6.35
PC,19-Jan-19,19,NA,NA,-5.2,-3.4,-7.6,91.4,85.2,NA,NA,NA,0.732,-0.5,-6.1,-4,-9.1,0,0.4,1.1,NA,0.405,0.07,6.45
PC,20-Jan-19,20,NA,NA,-8,-5.6,-9.9,89.1,81.6,NA,NA,NA,0.723,-0.5,-9.1,-6.7,-11.7,-0.1,0.4,1.1,NA,0.327,0.074,6.55
PC,21-Jan-19,21,NA,NA,-9.3,-7.7,-10.6,88.9,79.9,NA,NA,NA,0.714,-0.6,-10.2,-7.3,-12.2,-0.1,0.3,1.1,NA,0.274,0.069,6.66
PC,22-Jan-19,22,NA,NA,-7.6,-5.2,-9.6,90.3,85.3,NA,NA,NA,0.777,-0.7,-7.9,-5.8,-10.4,-0.1,0.4,1.1,NA,0.353,0.061,6.77
PC,23-Jan-19,23,NA,NA,-7.1,-5.6,-8.6,91.3,89.4,NA,NA,NA,0.816,-0.7,-7.6,-5.9,-9.8,-0.1,0.4,1.1,NA,0.358,0.042,6.89
PC,24-Jan-19,24,NA,NA,-4.7,-1.7,-7.1,85.3,68.5,NA,NA,NA,0.8,-0.7,-6.1,-3.5,-8.1,-0.1,0.4,1.1,NA,0.37,0.17,7.01
PC,25-Jan-19,25,NA,NA,-3.2,-0.1,-5.7,83.3,67.2,NA,NA,NA,0.786,-0.6,-4.6,-2.1,-7,0,0.4,1.1,NA,0.406,0.198,7.13
PC,26-Jan-19,26,NA,NA,0.7,3.9,-2.9,77,56.8,NA,NA,NA,0.775,-0.5,-2,0,-4.9,0,0.4,1.1,NA,0.458,0.348,7.26
PC,27-Jan-19,27,NA,NA,-3.2,3.6,-9.2,71.2,59.7,NA,NA,NA,0.766,-0.4,-5.2,0,-11.1,0,0.4,1.1,NA,0.472,0.319,7.39
PC,28-Jan-19,28,NA,NA,-7.9,-4.1,-10.7,63.5,38.5,NA,NA,NA,0.758,-0.4,-10,-6.1,-12.3,-0.1,0.3,1,NA,0.174,0.278,7.52
PC,29-Jan-19,29,NA,NA,-4.7,0.8,-9.1,31.8,8.1,NA,NA,NA,0.747,-0.5,-8.4,-3.1,-11.7,0,0.4,1,NA,0.053,0.601,7.66
PC,30-Jan-19,30,NA,NA,-1,1.8,-5.6,41.8,15.3,NA,NA,NA,0.737,-0.6,-4.1,-1.5,-8.6,0,0.4,1.1,NA,0.106,0.587,7.8
PC,31-Jan-19,31,NA,NA,-0.3,1.7,-1.9,70.6,56,NA,NA,NA,0.733,-0.6,-2.1,-0.5,-3.7,0,0.4,1.1,NA,0.388,0.305,7.95
PC,1-Feb-19,32,NA,NA,-2.5,-0.6,-4.9,86.6,71.9,NA,NA,NA,0.717,-0.4,-3.2,-2.1,-5.2,0,0.4,1,NA,0.422,0.165,8.1
PC,2-Feb-19,33,NA,NA,-5.1,-2,-8,83.4,63,NA,NA,NA,0.737,-0.4,-6.3,-3.3,-9.3,0,0.4,1,NA,0.332,0.195,8.25
PC,3-Feb-19,34,NA,NA,-12.3,-7.9,-21.8,83.4,64.3,NA,NA,NA,0.731,-0.4,-11.6,-7.9,-20.2,-0.1,0.3,1,NA,0.216,0.12,8.41
PC,4-Feb-19,35,NA,NA,-22.5,-19.8,-26.4,76.1,73.7,NA,NA,NA,0.734,-0.7,-22.1,-19,-25.5,-0.1,0.2,0.9,NA,0.094,0.034,8.57
PC,5-Feb-19,36,NA,NA,-19.9,-15.5,-22.8,67.5,42.6,NA,NA,NA,0.733,-1.1,-20.8,-15.1,-23.4,-0.1,0.3,0.9,NA,0.078,0.105,8.73
PC,6-Feb-19,37,NA,NA,-19.4,-15,-23.4,72,55,NA,NA,NA,0.73,-1.5,-20.9,-16,-24.3,-0.2,0.3,0.9,NA,0.105,0.086,8.9
PC,7-Feb-19,38,NA,NA,-12.3,-10.7,-16.1,63.4,37.2,NA,NA,NA,0.733,-1.7,-13.3,-11.1,-18.4,-0.2,0.3,0.9,NA,0.1,0.169,9.08
PC,8-Feb-19,39,NA,NA,-15.6,-11.1,-19.1,82.4,79.1,NA,NA,NA,0.796,-1.7,-15.7,-11.5,-19.3,-0.2,0.2,0.9,NA,0.207,0.055,9.25
PC,9-Feb-19,40,NA,NA,-19.6,-16.9,-21.6,78.3,76.4,NA,NA,NA,0.785,-1.6,-19.8,-17.1,-22.3,-0.2,0.2,0.9,NA,0.124,0.038,9.43
PC,10-Feb-19,41,NA,NA,-17.6,-13.3,-20.7,79.7,74.4,NA,NA,NA,0.793,-1.5,-18.3,-13.3,-21.5,-0.2,0.2,0.9,NA,0.163,0.056,9.61
