Site,Date,Dy,Solar,Reflect,Tave,Tmax,Tmin,RHave,RHmin,Wind,WindMax,Precip,SnowD,Tsnow,IRTSurfA,IRTSurfX,IRTSurfN,Tsoil005,Tsoil15,Tsoil50,SoilH2O,Vapres,vpdX,ClrSky
PJ,1-Jan-19,1,1.99,1.85,-6,-1.7,-10.2,85.3,70.1,0.5,2.1,0,0.673,-1.4,-5.9,2.4,-14.4,-0.2,0.7,1.3,NA,0.377,0.161,5.14
PJ,2-Jan-19,2,1.42,1.32,-8.4,-7,-10.1,91.6,85.5,0.9,4.1,0,0.656,-1.3,-8,-3.7,-14.4,-0.2,0.7,1.2,NA,0.309,0.052,5.18
PJ,3-Jan-19,3,1.36,1.27,-3.7,-0.4,-7.5,94.7,91.9,1.7,5.1,2,0.646,-1.3,-3.1,1.9,-7,-0.2,0.7,1.2,NA,0.546,0.048,5.22
PJ,4-Jan-19,4,4.22,2.63,-2.8,0.9,-7.9,86.5,67.9,1.4,4.8,0,0.628,-1,-5.6,1.8,-18.7,-0.1,0.7,1.2,NA,0.443,0.209,5.27
PJ,5-Jan-19,5,2.31,1.68,-3,-0.3,-4.9,88.5,78.7,2.6,5.1,0,0.62,-1.1,-2.9,2.7,-7,-0.1,0.7,1.2,NA,0.47,0.127,5.32
PJ,6-Jan-19,6,3.58,2.56,-5.4,-1.8,-12.5,84.1,58.6,1.9,5.2,0,0.611,-1.1,-7.2,-1,-25.2,-0.1,0.7,1.2,NA,0.314,0.222,5.37
PJ,7-Jan-19,7,3.98,3.12,-9.4,-5.4,-17.1,79.9,53.7,1.9,6.5,0.63,0.607,-1.4,-12.9,-4.5,-24.3,-0.2,0.7,1.2,NA,0.22,0.19,5.43
PJ,8-Jan-19,8,2.03,1.64,-10.2,-5.6,-16.8,73.2,37.8,2.7,5.9,3.15,0.633,-2,-12.5,-5.7,-24.8,-0.3,0.7,1.2,NA,0.152,0.25,5.49
PJ,9-Jan-19,9,1.38,1.11,-2.7,-0.1,-6.1,91.9,86.2,2.2,5,0,0.625,-2.1,-2.3,1.6,-6.2,-0.2,0.7,1.2,NA,0.522,0.084,5.56
PJ,10-Jan-19,10,4.43,2.91,-2.3,1.2,-5.2,93.7,80.5,1.6,4.5,0,0.616,-1.5,-3,5.4,-14.7,-0.2,0.7,1.2,NA,0.535,0.13,5.63
PJ,11-Jan-19,11,3.04,2.49,-2.7,-0.5,-4.4,91.4,71.9,2.1,4.9,0,0.609,-1.2,-4,3.2,-9.3,-0.1,0.7,1.2,NA,0.423,0.165,5.7
PJ,12-Jan-19,12,5,2.94,-2.9,1.6,-6.6,77,60.6,1.3,5.2,0,0.603,-1.2,-7,1.8,-14.4,-0.1,0.7,1.2,NA,0.415,0.27,5.77
PJ,13-Jan-19,13,6.34,3.32,-3.7,3.9,-7.7,72.6,49.2,0.5,2,0,0.589,-1.4,-8.7,5,-20.9,-0.1,0.7,1.2,NA,0.396,0.409,5.85
PJ,14-Jan-19,14,6.67,3.39,-3.5,4.7,-8.9,49.4,29.6,0.4,1.6,0,0.59,-1.8,-10.7,4.2,-26.1,-0.1,0.7,1.2,NA,0.252,0.599,5.93
PJ,15-Jan-19,15,6.17,3.47,-4.8,1.4,-8,55.2,38.2,0.9,3.2,0,0.589,-2.2,-10.4,1.7,-16.1,-0.2,0.7,1.2,NA,0.259,0.419,6.02
PJ,16-Jan-19,16,2.67,1.93,-4,-0.4,-6.2,78.2,65.2,2.1,5.1,0,0.59,-2.3,-3.8,2,-10.5,-0.2,0.7,1.2,NA,0.388,0.207,6.11
PJ,17-Jan-19,17,1.56,1.41,-3.2,-1.3,-5.3,90.7,80.6,2.1,5.1,2.73,0.595,-1.8,-3,-0.3,-8.4,-0.3,0.7,1.1,NA,0.447,0.108,6.2
PJ,18-Jan-19,18,2.55,2.37,-4.6,-1.4,-7.1,92.1,84.8,1.2,5.6,0.63,0.63,-1.4,-5.7,-2.5,-11.1,-0.2,0.6,1.1,NA,0.468,0.084,6.3
PJ,19-Jan-19,19,7.02,4.15,-3.7,0.6,-8.4,87.1,65.7,1.7,5.6,3.57,0.639,-1.3,-5.6,2.6,-17,-0.2,0.7,1.1,NA,0.42,0.219,6.4
PJ,20-Jan-19,20,3.33,2.33,-7.2,-2.9,-10.4,86.4,62.1,1.3,5.5,0,0.635,-1.3,-11.7,-5.4,-18.8,-0.2,0.6,1.1,NA,0.305,0.186,6.51
PJ,21-Jan-19,21,2.86,2.07,-9,-5,-13.1,85.2,71.7,1.1,4.3,0,0.623,-1.6,-14.3,-4.8,-21.3,-0.2,0.6,1.1,NA,0.301,0.119,6.61
PJ,22-Jan-19,22,1.36,1.27,-7.7,-6.5,-10,90.9,80.4,0.7,4.1,12.39,0.722,-1.9,-8,-6.2,-13.7,-0.2,0.6,1.1,NA,0.301,0.073,6.73
PJ,23-Jan-19,23,3.87,3.57,-6.1,-2.7,-9.4,92.8,89.4,1.5,5,9.24,0.78,-1.8,-7.2,4,-15.7,-0.2,0.6,1.1,NA,0.448,0.053,6.84
PJ,24-Jan-19,24,6.19,4.15,-3.5,1,-9.5,78.7,41.1,1.1,3.9,0,0.756,-1.5,-5.2,3,-19,-0.2,0.6,1.1,NA,0.271,0.388,6.96
PJ,25-Jan-19,25,6.88,4.28,-1.8,2.5,-7,75.2,56.4,1.3,4.8,0,0.739,-1.3,-3.4,3.5,-12.7,-0.1,0.6,1.1,NA,0.414,0.32,7.09
PJ,26-Jan-19,26,7.26,4.29,2.3,10.4,-4.4,63.3,37.8,0.9,5.3,0,0.727,-1.1,-1.6,9.4,-10,-0.1,0.7,1.1,NA,0.477,0.785,7.21
PJ,27-Jan-19,27,8.04,4.5,-1.3,4.8,-11.5,60.9,46.1,2.5,6,2.52,0.712,-0.9,-4,3.2,-18.9,-0.1,0.7,1.1,NA,0.395,0.462,7.34
PJ,28-Jan-19,28,5.81,3.8,-8.8,-1.6,-13.9,73.9,37.1,0.6,2.5,0,0.701,-1,-15,-0.8,-34.6,-0.1,0.6,1.1,NA,0.201,0.341,7.47
PJ,29-Jan-19,29,8.44,4.7,-7,2.8,-13.7,44.2,11.9,0.5,2.6,0,0.699,-1.5,-13.8,3.2,-35.8,-0.1,0.6,1.1,NA,0.089,0.659,7.61
PJ,30-Jan-19,30,4.29,3.21,-3.1,3.9,-10.5,53.1,27.6,0.4,2.1,0,0.7,-1.8,-4.5,5.1,-18.2,-0.1,0.6,1.1,NA,0.222,0.582,7.75
PJ,31-Jan-19,31,2.72,2.1,-2.3,2.1,-5.5,72.5,50.3,0.6,2.2,0,0.692,-1.6,-2.6,2.5,-5.9,-0.1,0.6,1.1,NA,0.356,0.352,7.9
PJ,1-Feb-19,32,4.37,3.29,-3,-0.1,-5.1,87.1,71.7,1,4.2,0,0.683,-1.3,-2.8,0.8,-5.5,-0.1,0.6,1.1,NA,0.434,0.171,8.04
PJ,2-Feb-19,33,7.09,4.31,-4.3,0.4,-11.6,78.3,51.2,1.7,6.1,2.73,0.698,-1,-6.6,0.3,-17,-0.1,0.6,1.1,NA,0.321,0.306,8.2
PJ,3-Feb-19,34,5.7,4.04,-14.8,-6.5,-24.2,78,48.9,0.5,4.3,0,0.691,-1.1,-13.6,0.6,-31.4,-0.2,0.6,1,NA,0.183,0.191,8.35
PJ,4-Feb-19,35,7.21,4.97,-22.5,-17,-25.3,72.9,61.3,2.6,7.1,0,0.694,-2.2,-23,-16.4,-29.1,-0.6,0.5,1,NA,0.099,0.063,8.52
PJ,5-Feb-19,36,8.16,5.08,-20.5,-13.4,-27.5,68.3,35.2,1.2,4.5,0,0.695,-3.2,-24.4,-13.2,-33.3,-0.9,0.5,1,NA,0.077,0.142,8.68
PJ,6-Feb-19,37,9.54,5.91,-19.1,-13,-25.4,71.2,50.4,1.6,5.1,0,0.686,-3.9,-23.7,-13.8,-31,-1.1,0.5,1,NA,0.113,0.111,8.85
PJ,7-Feb-19,38,4.15,3.21,-12.5,-7.3,-19.9,62.4,29.6,0.5,2.6,3.15,0.702,-4,-14.4,-7.5,-26.7,-1,0.4,0.9,NA,0.104,0.247,9.02
PJ,8-Feb-19,39,4.85,4.51,-14.3,-11.9,-17.6,84.5,77.2,2,5.8,7.35,0.778,-3.6,-14.6,-10.3,-18.7,-0.9,0.4,0.9,NA,0.19,0.056,9.19
PJ,9-Feb-19,40,7.35,5.64,-18.5,-16.5,-21,81.2,78.1,3.9,7.2,1.365,0.763,-3.2,-19.6,-15.1,-26.7,-1.1,0.4,0.9,NA,0.132,0.037,9.37
PJ,10-Feb-19,41,8.38,5.46,-18.4,-10.8,-26.4,76.9,52.9,0.8,4.5,0,0.764,-2.7,-21.6,-10.3,-32.3,-0.7,0.4,0.9,NA,0.141,0.126,9.55
PJ,11-Feb-19,42,6.78,5.55,-16.9,-11.5,-25.9,77.5,64.8,1.6,5.2,0.63,0.764,-2.7,-19.2,-9.2,-32.4,-0.6,0.4,0.9,NA,0.164,0.089,9.74
PJ,12-Feb-19,43,3.43,2.99,-12.4,-9.6,-16.4,87,82.7,1.1,4.1,7.56,0.818,-2.7,-13.7,-8.5,-24,-0.5,0.3,0.9,NA,0.243,0.051,9.92
