Site,Date,Dy,Solar,Reflect,Tave,Tmax,Tmin,RHave,RHmin,Wind,WindMax,Precip,SnowD,Tsnow,IRTSurfA,IRTSurfX,IRTSurfN,Tsoil005,Tsoil15,Tsoil50,SoilH2O,Vapres,vpdX,ClrSky
PK,1-Jan-19,1,2.04,1.89,-5.8,-0.7,-10.2,89,77.7,0.4,2.9,0,0.642,-1.5,-6.8,-2,-17.3,-0.4,NA,1.1,NA,0.451,0.129,5.14
PK,2-Jan-19,2,1.4,1.3,-8.5,-7.3,-10.1,94,91.5,2.6,6.8,0,0.624,-1.4,-8.4,-6.8,-16.6,-0.4,NA,1.1,NA,0.322,0.03,5.18
PK,3-Jan-19,3,1.35,1.25,-3.9,0,-7.5,96.4,94.2,2.7,6.2,2,0.617,-1.3,-3.9,-0.4,-7,-0.4,NA,1.1,NA,0.575,0.035,5.22
PK,4-Jan-19,4,3.2,2.97,-3.6,1.3,-11.5,94.9,85.2,1.1,4.8,0,0.598,-1.1,-10.7,-1.6,-21.8,-0.3,NA,1.1,NA,0.572,0.099,5.27
PK,5-Jan-19,5,2.1,1.91,-2.4,0.1,-4.7,91.3,81.4,2.4,6.3,0,0.591,-1.4,-4.7,-1.7,-8.5,-0.4,NA,1.1,NA,0.501,0.114,5.32
PK,6-Jan-19,6,3.36,2.93,-5.8,-0.6,-16.1,86.3,58.8,1.6,5.5,0,0.578,-1.2,-10.9,-2.7,-26,-0.4,NA,1.1,NA,0.344,0.241,5.37
PK,7-Jan-19,7,3.94,3.62,-10.3,-4.3,-20.6,81.9,54.6,1.5,7.9,0.99,0.576,-1.7,-16.2,-8,-31.5,-0.4,NA,1.1,NA,0.243,0.202,5.43
PK,8-Jan-19,8,2.05,1.71,-11.1,-6.4,-20.9,79.8,36.9,2.2,6.1,3.96,0.617,-2.3,-14.8,-6.4,-32.4,-0.4,NA,1.1,NA,0.14,0.239,5.49
PK,9-Jan-19,9,1.43,1.2,-2.5,0.5,-6.4,94.7,87,2.3,5.2,0,0.606,-2,-3.1,-0.7,-6.5,-0.4,NA,1.1,NA,0.55,0.082,5.56
PK,10-Jan-19,10,3.61,3.15,-1.8,1.2,-3.9,97.4,93.7,1.9,4,0,0.593,-1.3,-4,-1,-12.3,-0.4,NA,1.1,NA,0.625,0.042,5.63
PK,11-Jan-19,11,3.15,2.92,-2.3,-0.2,-3.6,95.9,88.9,2.2,4.9,0,0.593,-1.2,-5.7,-1.5,-12.4,-0.4,NA,1.1,NA,0.534,0.067,5.7
PK,12-Jan-19,12,4.05,3.5,-3.3,0.6,-9.8,87.6,75.1,2,5.1,0,0.59,-1.2,-9.9,-3.7,-18.7,-0.4,NA,1.1,NA,0.479,0.159,5.77
PK,13-Jan-19,13,5.17,4.36,-6.5,3.1,-12,87.5,58.6,0.8,3.7,0,0.578,-1.6,-16.2,-4.3,-23.9,-0.3,NA,1.1,NA,0.447,0.316,5.85
PK,14-Jan-19,14,5.18,4.58,-8,5.5,-14.8,78.5,37.3,0.6,2.6,0,0.574,-2.3,-21,-6.3,-28.1,-0.3,NA,1.1,NA,0.337,0.566,5.93
PK,15-Jan-19,15,5.3,4.51,-7.4,0.1,-13.2,72.8,49.6,1.4,5.2,0,0.577,-2.7,-17.4,-6.1,-25.3,-0.4,NA,1.1,NA,0.305,0.31,6.02
PK,16-Jan-19,16,2.68,2.2,-3.9,-0.4,-8.1,81.5,69.2,2.3,5.4,0,0.575,-2.5,-6,-2.8,-17,-0.5,NA,1,NA,0.41,0.182,6.11
PK,17-Jan-19,17,1.69,1.54,-2.4,-0.3,-3.9,91.7,82.5,2.1,6.2,3.74,0.594,-1.7,-4.4,-2.3,-10.2,-0.5,NA,1,NA,0.492,0.104,6.2
