Site,Date,Dy,Solar,Reflect,Tave,Tmax,Tmin,RHave,RHmin,Wind,WindMax,Precip,SnowD,Tsnow,IRTSurfA,IRTSurfX,IRTSurfN,Tsoil005,Tsoil15,Tsoil50,SoilH2O,Vapres,vpdX,ClrSky
PL,1-Jan-19,1,2.34,NA,-5.7,-3.3,-9.1,93.2,79.2,0.75,5.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.191,0.379,0.1,5.18
PL,2-Jan-19,2,1.42,NA,-5.2,-1.2,-9.5,96.8,93.9,1.85,9.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.191,0.525,0.034,5.22
PL,3-Jan-19,3,1.76,NA,-3.7,-1.2,-8.1,99.8,98.4,1.55,6.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.191,0.55,0.009,5.26
PL,4-Jan-19,4,4.69,NA,-3.4,-1.4,-5.6,95.7,87.6,1.36,8.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.191,0.483,0.068,5.31
PL,5-Jan-19,5,2.25,NA,-4.3,-3.1,-5.4,99.5,96.6,2.83,12.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.191,0.469,0.017,5.36
PL,6-Jan-19,6,5.16,NA,-6.3,-3.8,-10.4,96.4,82,3.02,11.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.191,0.378,0.083,5.41
PL,7-Jan-19,7,5.99,NA,-10.1,-7.6,-15.1,91.5,76.2,3.06,14.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.191,0.263,0.082,5.47
PL,8-Jan-19,8,2.07,NA,-11.4,-8.5,-15.4,83.8,57.8,3.9,12.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.191,0.186,0.136,5.53
PL,9-Jan-19,9,1.58,NA,-4.1,-1.4,-7.6,99.5,97.3,2.43,8.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.191,0.536,0.015,5.6
PL,10-Jan-19,10,3.71,NA,-2.7,0.2,-4.4,100,99.8,1.34,6.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.191,0.618,0.001,5.67
PL,11-Jan-19,11,3.01,NA,-3.6,-1.2,-4.9,100,100,1.49,6.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.191,0.559,0,5.74
