STN	DATE		MAX T 	MIN T	PREC	
AKI	2020/09/01	15.1	7.0	0.1	
AKI	2020/09/02	15.2	5.8	0.0	
AKI	2020/09/03	15.1	3.4	0.0	
AKI	2020/09/04	16.5	7.0	0.2	
AKI	2020/09/05	18.1	7.0	0.3	
AKI	2020/09/06	17.2	2.7	0.0	
AKI	2020/09/07	16.6	-1.6	0.0	
AKI	2020/09/08	18.7	4.8	0.0	
AKI	2020/09/09	23.5	4.5	0.0	
AKI	2020/09/10	19.9	3.8	0.0	
AKI	2020/09/11	17.8	4.7	0.1	
AKI	2020/09/12	15.0	0.7	0.0	
AKI	2020/09/13	6.6	1.2	2.8	
AKI	2020/09/14	13.1	0.6	0.0	
AKI	2020/09/15	15.8	-2.2	0.0	
AKI	2020/09/16	14.2	-1.5	0.0	
AKI	2020/09/17	19.1	-0.5	0.0	
AKI	2020/09/18	17.3	1.1	0.0	
AKI	2020/09/19	16.2	3.3	0.0	
AKI	2020/09/20	12.9	3.3	0.0	
AKI	2020/09/21	12.7	2.1	0.5	
AKI	2020/09/22	12.6	-0.2	0.0	
AKI	2020/09/23	10.6	4.1	3.3	
AKI	2020/09/24	12.4	4.6	1.3	
AKI	2020/09/25	7.6	2.3	5.5	
AKI	2020/09/26	10.9	2.9	2.7	
AKI	2020/09/27	4.3	-0.5	3.9	
AKI	2020/09/28	10.2	0.9	0.0	
AKI	2020/09/29	13.7	-2.1	0.4	
AKI	2020/09/30	13.4	-2.1	0.0	

