Colpitti Ck
STN	Date/Time       	PREC_HR_TTL_VAL	PREC_HR_TTL_VAL_QC	PREC_HR_TTL_VAL_Note	PREC_BEST_HR_TTL	PREC_BEST_HR_TTL_QC	PREC_BEST_HR_TTL_Note	TEMP_INST_VAL	TEMP_INST_VAL_QC	TEMP_INST_VAL_Note	SWE_INST_VAL	SWE_INST_VAL_QC	SWE_INST_VAL_Note	
CPI	2020/09/19 14:00	+	+	+	+	+	+	8.3	190	+	-1.0	190	+	
CPI	2020/09/19 14:15	+	+	+	+	+	+	8.0	190	+	-1.0	190	+	
CPI	2020/09/19 14:30	+	+	+	+	+	+	8.1	190	+	-1.0	190	+	
CPI	2020/09/19 14:45	+	+	+	+	+	+	7.4	190	+	-1.0	190	+	
CPI	2020/09/19 15:00	0.2	50	+	0.2	50	+	7.4	190	+	0.0	190	+	
CPI	2020/09/19 15:15	+	+	+	+	+	+	7.7	190	+	-1.0	190	+	
CPI	2020/09/19 15:30	+	+	+	+	+	+	7.4	190	+	0.0	190	+	
CPI	2020/09/19 15:45	+	+	+	+	+	+	6.7	190	+	0.0	190	+	
CPI	2020/09/19 16:00	0.5	50	+	0.5	50	+	6.6	190	+	0.0	190	+	
CPI	2020/09/19 16:15	+	+	+	+	+	+	6.7	190	+	0.0	190	+	
CPI	2020/09/19 16:30	+	+	+	+	+	+	6.2	190	+	0.0	190	+	
CPI	2020/09/19 16:45	+	+	+	+	+	+	6.0	190	+	0.0	190	+	
CPI	2020/09/19 17:00	0.8	50	+	0.8	50	+	5.8	190	+	0.0	190	+	
CPI	2020/09/19 17:15	+	+	+	+	+	+	5.8	190	+	0.0	190	+	
CPI	2020/09/19 17:30	+	+	+	+	+	+	5.7	190	+	0.0	190	+	
CPI	2020/09/19 17:45	+	+	+	+	+	+	5.8	190	+	0.0	190	+	
CPI	2020/09/19 18:00	0.2	50	+	0.2	50	+	5.6	190	+	0.0	190	+	
CPI	2020/09/19 18:15	+	+	+	+	+	+	5.5	190	+	0.0	190	+	
CPI	2020/09/19 18:30	+	+	+	+	+	+	5.5	190	+	0.0	190	+	
CPI	2020/09/19 18:45	+	+	+	+	+	+	5.6	190	+	0.0	190	+	
CPI	2020/09/19 19:00	0.2	50	+	0.2	50	+	5.6	190	+	0.0	190	+	
CPI	2020/09/19 19:15	+	+	+	+	+	+	5.5	190	+	0.0	190	+	
CPI	2020/09/19 19:30	+	+	+	+	+	+	5.5	190	+	0.0	190	+	
CPI	2020/09/19 19:45	+	+	+	+	+	+	5.8	190	+	0.0	190	+	
CPI	2020/09/19 20:00	0.3	50	+	0.3	50	+	5.7	190	+	0.0	190	+	
CPI	2020/09/19 20:15	+	+	+	+	+	+	5.7	190	+	0.0	190	+	
CPI	2020/09/19 20:30	+	+	+	+	+	+	5.8	190	+	0.0	190	+	
CPI	2020/09/19 20:45	+	+	+	+	+	+	5.7	190	+	0.0	190	+	
CPI	2020/09/19 21:00	0.1	50	+	0.1	50	+	6.0	190	+	0.0	190	+	
CPI	2020/09/19 21:15	+	+	+	+	+	+	5.9	190	+	0.0	190	+	
CPI	2020/09/19 21:30	+	+	+	+	+	+	6.0	190	+	0.0	190	+	
CPI	2020/09/19 21:45	+	+	+	+	+	+	5.8	190	+	0.0	190	+	
CPI	2020/09/19 22:00	0.4	50	+	0.4	50	+	5.7	190	+	0.0	190	+	
CPI	2020/09/19 22:15	+	+	+	+	+	+	5.7	190	+	0.0	190	+	
CPI	2020/09/19 22:30	+	+	+	+	+	+	5.6	190	+	0.0	190	+	
CPI	2020/09/19 22:45	+	+	+	+	+	+	5.6	190	+	0.0	190	+	
CPI	2020/09/19 23:00	0.1	50	+	0.1	50	+	5.5	190	+	-1.0	190	+	
CPI	2020/09/19 23:15	+	+	+	+	+	+	5.8	190	+	-1.0	190	+	
CPI	2020/09/19 23:30	+	+	+	+	+	+	5.8	190	+	-1.0	190	+	
CPI	2020/09/19 23:45	+	+	+	+	+	+	5.7	190	+	-1.0	190	+	
CPI	2020/09/20 00:00	0.1	50	+	0.1	50	+	5.6	190	+	-1.0	190	+	
CPI	2020/09/20 00:15	+	+	+	+	+	+	5.8	190	+	-1.0	190	+	
CPI	2020/09/20 00:30	+	+	+	+	+	+	5.8	190	+	-1.0	190	+	
CPI	2020/09/20 00:45	+	+	+	+	+	+	5.8	190	+	-1.0	190	+	
CPI	2020/09/20 01:00	0.2	50	+	0.2	50	+	5.5	190	+	-1.0	190	+	
CPI	2020/09/20 01:15	+	+	+	+	+	+	5.6	190	+	-1.0	190	+	
CPI	2020/09/20 01:30	+	+	+	+	+	+	5.7	190	+	-1.0	190	+	
CPI	2020/09/20 01:45	+	+	+	+	+	+	5.7	190	+	-1.0	190	+	
CPI	2020/09/20 02:00	0.1	50	+	0.1	50	+	5.5	190	+	-1.0	190	+	
CPI	2020/09/20 02:15	+	+	+	+	+	+	5.6	190	+	-1.0	190	+	
CPI	2020/09/20 02:30	+	+	+	+	+	+	5.2	190	+	-1.0	190	+	
CPI	2020/09/20 02:45	+	+	+	+	+	+	5.2	190	+	-1.0	190	+	
CPI	2020/09/20 03:00	0.2	50	+	0.2	50	+	5.1	190	+	-1.0	190	+	
CPI	2020/09/20 03:15	+	+	+	+	+	+	4.8	190	+	-1.0	190	+	
CPI	2020/09/20 03:30	+	+	+	+	+	+	4.5	190	+	-1.0	190	+	
CPI	2020/09/20 03:45	+	+	+	+	+	+	4.6	190	+	-1.0	190	+	
CPI	2020/09/20 04:00	0.1	50	+	0.1	50	+	4.5	190	+	-1.0	190	+	
CPI	2020/09/20 04:15	+	+	+	+	+	+	4.6	190	+	-1.0	190	+	
