"Date Time, PST",Day,"Rain, mm","Pressure, mbar","Temp, °C","RH, %","DewPt, °C","Wind Speed, m/s","Gust Speed, m/s","Wind Direction, ø","Solar Radiation, W/m²","Wetness, %","Snow depth, cm","Water Content, m³/m³ 15 cm","WC_cal, m³/m³","Soil Temp, °C","Sfc Temp, °C","Water Content, m³/m³ 5 cm","Water Content, m³/m³ 30 cm","Temp 2, °C","RH 2, %","DewPt 2, °C","Temp 30 cm, °C","RH 30 cm, %","DewPt 30 cm, °C",Flags,Comments
2023-08-04 11:00,2023-08-04,,824.45,12.775,69.5,7.35,1.95,3.7,328.5,219.4,NAN,NAN,NAN,NAN,NAN,NAN,,NAN,12.195,72.7,7.451,NAN,NAN,NAN,,Station installed
2023-08-04 12:00,2023-08-04,0,824.45,13.546,68,7.768,2.53,5.65,315.9,809.4,NAN,NAN,NAN,NAN,NAN,NAN,11.607,NAN,13.088,70.7,7.901,NAN,NAN,NAN,,
2023-08-04 13:00,2023-08-04,0,824.35,13.978,61.7,6.758,2.73,5.65,317.3,905.6,NAN,NAN,NAN,NAN,NAN,NAN,,NAN,13.546,64.4,6.973,NAN,NAN,NAN,,
2023-08-04 14:00,2023-08-04,0,824.35,16.534,58.6,8.409,2.53,5.46,315.9,905.6,NAN,NAN,NAN,NAN,NAN,NAN,,NAN,15.7,61.8,8.408,NAN,NAN,NAN,,
2023-08-04 15:00,2023-08-04,0,824.15,16.654,53.4,7.157,2.92,6.04,221.8,716.9,NAN,NAN,NAN,NAN,NAN,NAN,,NAN,15.652,57.2,7.227,NAN,NAN,NAN,,
2023-08-04 16:00,2023-08-04,0,824.15,16.129,49.9,5.687,2.73,7.21,212,198.1,NAN,NAN,NAN,NAN,NAN,NAN,15.117,NAN,15.652,53.2,6.172,NAN,NAN,NAN,,
2023-08-04 17:00,2023-08-04,0,824.25,16.368,49.8,5.879,1.75,4.29,151.6,161.9,NAN,NAN,NAN,NAN,NAN,NAN,,NAN,16.034,52.1,6.224,NAN,NAN,NAN,,
2023-08-04 18:00,2023-08-04,0,824.45,15.652,49.5,5.133,2.14,4.87,273.8,318.1,NAN,NAN,NAN,NAN,NAN,NAN,,NAN,15.438,51.1,5.393,NAN,NAN,NAN,,
2023-08-04 19:00,2023-08-04,0,824.35,15.676,50,5.299,3.51,7.21,280.8,180.6,NAN,NAN,NAN,NAN,NAN,NAN,,NAN,15.581,51.9,5.749,NAN,NAN,NAN,,
2023-08-04 20:00,2023-08-04,0,824.45,14.385,56.2,5.786,4.29,6.63,273.8,71.9,NAN,NAN,NAN,NAN,NAN,NAN,12.61,NAN,14.409,58.2,6.315,NAN,NAN,NAN,,
2023-08-04 21:00,2023-08-04,0,824.75,13.281,61,5.934,3.9,5.85,297.6,1.9,NAN,NAN,NAN,NAN,NAN,NAN,,NAN,13.425,62.3,6.376,NAN,NAN,NAN,,
2023-08-04 22:00,2023-08-04,0,825.05,12.171,64.5,5.689,4.68,6.82,296.2,0.6,NAN,NAN,NAN,NAN,NAN,NAN,,NAN,12.292,65.5,6.026,NAN,NAN,NAN,,
2023-08-04 23:00,2023-08-04,0,825.55,11.273,74.7,6.958,2.14,4.68,129.2,0.6,NAN,NAN,NAN,NAN,NAN,NAN,,NAN,11.394,75.7,7.269,NAN,NAN,NAN,,
2023-08-05 0:00,2023-08-05,0,825.75,11.71,69,6.224,0.39,1.56,249.9,0.6,NAN,NAN,NAN,NAN,NAN,NAN,11.105,NAN,12.195,69.6,6.815,NAN,NAN,NAN,,
2023-08-05 1:00,2023-08-05,0,825.85,11.686,72,6.82,0.78,2.14,39.3,0.6,NAN,NAN,NAN,NAN,NAN,NAN,,NAN,12.001,72.3,7.184,NAN,NAN,NAN,,
2023-08-05 2:00,2023-08-05,0,825.95,11.224,71.4,6.253,0.19,0.97,329.9,0.6,NAN,NAN,NAN,NAN,NAN,NAN,,NAN,11.783,71,6.709,NAN,NAN,NAN,,
2023-08-05 3:00,2023-08-05,0,825.85,10.98,69.9,5.712,1.17,2.53,282.2,0.6,NAN,NAN,NAN,NAN,NAN,NAN,,NAN,11.321,70.5,6.163,NAN,NAN,NAN,,
2023-08-05 4:00,2023-08-05,0,825.75,10.394,72.9,5.755,1.95,2.92,307.5,0.6,NAN,NAN,NAN,NAN,NAN,NAN,10.102,NAN,10.687,73.6,6.176,NAN,NAN,NAN,,
2023-08-05 5:00,2023-08-05,0,825.85,10.198,73.8,5.743,0.58,1.36,325.7,9.4,NAN,NAN,NAN,NAN,NAN,NAN,,NAN,10.687,74.3,6.313,NAN,NAN,NAN,,
2023-08-05 6:00,2023-08-05,0,825.85,10.663,74.7,6.368,0.39,0.97,92.7,73.1,NAN,NAN,NAN,NAN,NAN,NAN,,NAN,10.883,73.3,6.306,NAN,NAN,NAN,,
2023-08-05 7:00,2023-08-05,0,825.75,11.662,72.1,6.817,0.97,2.73,15.4,45.6,NAN,NAN,NAN,NAN,NAN,NAN,,NAN,11.637,73.3,7.033,NAN,NAN,NAN,,
2023-08-05 8:00,2023-08-05,0,825.85,12.678,66.4,6.592,1.95,2.92,80,373.1,NAN,NAN,NAN,NAN,NAN,NAN,10.604,NAN,12.001,69.3,6.566,NAN,NAN,NAN,,
2023-08-05 9:00,2023-08-05,0,825.85,13.738,67.3,7.8,1.36,3.31,84.2,496.9,NAN,NAN,NAN,NAN,NAN,NAN,,NAN,12.92,71.1,7.823,NAN,NAN,NAN,,
2023-08-05 10:00,2023-08-05,0,825.75,16.129,62.7,9.028,1.75,4.29,113.7,698.1,NAN,NAN,NAN,NAN,NAN,NAN,,NAN,14.553,66.8,8.468,NAN,NAN,NAN,,
2023-08-05 11:00,2023-08-05,0,825.65,15.867,57.1,7.403,2.73,6.63,129.2,854.4,NAN,NAN,NAN,NAN,NAN,NAN,,NAN,14.792,61.4,7.455,NAN,NAN,NAN,,
2023-08-05 12:00,2023-08-05,0,825.95,14.122,53.9,4.94,1.75,4.87,109.5,180.6,NAN,NAN,NAN,NAN,NAN,NAN,13.613,NAN,13.954,58,5.838,NAN,NAN,NAN,,
2023-08-05 13:00,2023-08-05,0,826.05,18.699,52.7,8.859,1.36,4.09,320.1,860.6,NAN,NAN,NAN,NAN,NAN,NAN,,NAN,17.153,55.9,8.293,NAN,NAN,NAN,,
2023-08-05 14:00,2023-08-05,0,825.95,17.796,47.6,6.534,1.75,4.87,287.8,835.6,NAN,NAN,NAN,NAN,NAN,NAN,,NAN,16.606,49.9,6.127,NAN,NAN,NAN,,
2023-08-05 15:00,2023-08-05,0,825.65,19.484,35.2,3.716,2.34,5.85,209.2,659.4,NAN,NAN,NAN,NAN,NAN,NAN,,NAN,18.675,37,3.708,NAN,NAN,NAN,,
2023-08-05 16:00,2023-08-05,0,825.45,17.13,36,1.952,3.9,8.97,198,135.6,NAN,NAN,NAN,NAN,NAN,NAN,15.117,NAN,16.701,37.6,2.18,NAN,NAN,NAN,,
2023-08-05 17:00,2023-08-05,0,825.65,16.654,42.1,3.733,3.12,6.24,221.8,169.4,NAN,NAN,NAN,NAN,NAN,NAN,,NAN,16.415,43.4,3.949,NAN,NAN,NAN,,
2023-08-05 18:00,2023-08-05,0,825.65,17.201,43.8,4.792,2.53,5.46,231.6,233.1,NAN,NAN,NAN,NAN,NAN,NAN,,NAN,16.654,45.6,4.872,NAN,NAN,NAN,,
2023-08-05 19:00,2023-08-05,0,825.45,15.796,47.4,4.643,4.09,7.41,304.7,191.9,NAN,NAN,NAN,NAN,NAN,NAN,,NAN,15.748,49.1,5.104,NAN,NAN,NAN,,
2023-08-05 20:00,2023-08-05,0,825.55,15.151,48.8,4.468,3.31,5.46,287.8,60.6,NAN,NAN,NAN,NAN,NAN,NAN,13.613,NAN,15.175,50.1,4.866,NAN,NAN,NAN,,
2023-08-05 21:00,2023-08-05,0,825.75,14.314,50.8,4.271,2.34,3.7,269.6,0.6,NAN,NAN,NAN,NAN,NAN,NAN,,NAN,14.553,51.7,4.742,NAN,NAN,NAN,,
