"Date Time, PST",Day,"Rain, mm","Pressure, mbar","Temp, °C","RH, %","DewPt, °C","Wind Speed, m/s","Gust Speed, m/s","Wind Direction, ø","Solar Radiation, W/m²","Wetness, %","Snow depth, cm","Water Content, m³/m³ 15 cm","WC_cal, m³/m³","Soil Temp, °C","Sfc Temp, °C","Water Content, m³/m³ 5 cm","Water Content, m³/m³ 30 cm","Temp 2, °C","RH 2, %","DewPt 2, °C","Temp 30 cm, °C","RH 30 cm, %","DewPt 30 cm, °C",Flags,Comments
2023-08-08 14:00,2023-08-08,,930.25,16.443,90.39,14.884,0.5,2.52,307.5,63.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,,,NAN,NAN,NAN,,Station installed
2023-08-08 15:00,2023-08-08,0.6,930.05,16.31,91.402,14.93,0,1.51,327.1,70.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,,,NAN,NAN,NAN,,
2023-08-08 16:00,2023-08-08,5.4,929.95,15.39,95.818,14.741,0,2.01,168.5,73.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,,,NAN,NAN,NAN,,
2023-08-08 17:00,2023-08-08,0,929.55,15.76,94.366,14.875,0,0.5,158.6,134.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,,,NAN,NAN,NAN,,
2023-08-08 18:00,2023-08-08,0,929.35,,,,0,2.01,117.9,149.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,,,NAN,NAN,NAN,,temp sensor glitches but working fine later
2023-08-08 19:00,2023-08-08,0,929.25,,,,0,1.01,61.8,69.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,,,NAN,NAN,NAN,,
2023-08-08 20:00,2023-08-08,0,929.25,,,,0,0,61.8,16.9,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,,,NAN,NAN,NAN,,
2023-08-08 21:00,2023-08-08,0,929.15,,,,0,0,61.8,1.9,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,,,NAN,NAN,NAN,,
2023-08-08 22:00,2023-08-08,0,928.95,,,,0,0,61.8,0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,,,NAN,NAN,NAN,,
2023-08-08 23:00,2023-08-08,0,928.75,,,,0,1.01,61.8,0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,,,NAN,NAN,NAN,,
