"Date Time, PST",Day,"Rain, mm","Pressure, mbar","Temp, °C","RH, %","DewPt, °C","Wind Speed, m/s","Gust Speed, m/s","Wind Direction, ø","Solar Radiation, W/m²","Wetness, %","Snow depth, cm","Water Content, m³/m³ 15 cm","WC_cal, m³/m³","Soil Temp, °C","Sfc Temp, °C","Water Content, m³/m³ 5 cm","Water Content, m³/m³ 30 cm","Temp 2, °C","RH 2, %","DewPt 2, °C","Temp 30 cm, °C","RH 30 cm, %","DewPt 30 cm, °C",Flags,Comments
2024-09-25 15:00,2024-09-25,,876.45,4.732,80.85,1.729,0,0.67,195.1,10.6,2.35,NAN,0.2392,7.945,,NAN,NAN,NAN,,,,NAN,NAN,NAN,,"station installed, backup temp/RH probe data not downloaded yet"
2024-09-25 16:00,2024-09-25,0,876.45,4.807,83.876,2.317,0,0,195.1,10.6,4.12,NAN,0.2342,7.895,,NAN,NAN,NAN,,,,NAN,NAN,NAN,,"WC_cal needs calculating, will add when available"
2024-09-25 17:00,2024-09-25,0,876.65,4.687,81.05,1.719,0,0.33,198,4.4,8.82,NAN,0.232,7.82,,NAN,NAN,NAN,,,,NAN,NAN,NAN,,
2024-09-25 18:00,2024-09-25,0,877.05,3.132,91.951,1.952,0,0,209.2,0.6,23.53,NAN,0.2313,7.795,,NAN,NAN,NAN,,,,NAN,NAN,NAN,,
2024-09-25 19:00,2024-09-25,0,877.15,2.743,92.613,1.667,0,0.33,217.6,0.6,35.88,NAN,0.2305,7.77,,NAN,NAN,NAN,,,,NAN,NAN,NAN,,
2024-09-25 20:00,2024-09-25,0,877.65,2.073,94.719,1.314,0,0,195.1,0.6,35.88,NAN,0.2305,7.745,,NAN,NAN,NAN,,,,NAN,NAN,NAN,,
2024-09-25 21:00,2024-09-25,0,877.85,2.003,95.135,1.305,0,0,199.4,0.6,35.29,NAN,0.2298,7.72,,NAN,NAN,NAN,,,,NAN,NAN,NAN,,
2024-09-25 22:00,2024-09-25,0,878.25,1.984,94.67,1.218,0,0,224.6,0.6,35.88,NAN,0.2291,7.72,,NAN,NAN,NAN,,,,NAN,NAN,NAN,,
2024-09-25 23:00,2024-09-25,0.2,878.55,1.762,95.435,1.109,0,0,332.7,0.6,35.29,NAN,0.2284,7.695,,NAN,NAN,NAN,,,,NAN,NAN,NAN,,
2024-09-26 0:00,2024-09-26,0,878.85,1.679,94.792,0.932,0,0,338.3,0.6,34.71,NAN,0.2284,7.67,,NAN,NAN,NAN,,,,NAN,NAN,NAN,,
