"Date Time, PST",Day,"Rain, mm","Pressure, mbar","Temp, °C","RH, %","DewPt, °C","Wind Speed, m/s","Gust Speed, m/s","Wind Direction, ø","Solar Radiation, W/m²","Wetness, %","Snow depth, cm","Water Content, m³/m³ 15 cm","WC_cal, m³/m³","Soil Temp, °C","Sfc Temp, °C","Water Content, m³/m³ 5 cm","Water Content, m³/m³ 30 cm","Temp 2, °C","RH 2, %","DewPt 2, °C","Temp 30 cm, °C","RH 30 cm, %","DewPt 30 cm, °C",Comments
2023-09-20 14:00,2023-09-20,,914.85,10.159,72.99,5.546,0,0,153,13.1,0,NAN,0.1426,0.1682,7.393,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"Station installed, will probably add redundant temp/RH later"
2023-09-20 15:00,2023-09-20,0,914.65,10.319,72.305,5.564,0,0,29.5,9.4,0.59,NAN,0.1318,0.1546,7.318,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Soil moisture calibration will be done once samples processed
2023-09-20 16:00,2023-09-20,0,914.25,11.1,67.716,5.369,0,0,26.7,5.6,0.59,NAN,0.1267,0.1482,7.217,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-20 17:00,2023-09-20,0,913.95,11.15,67.208,5.309,0,0,26.7,1.9,0.59,NAN,0.123,0.1435,7.192,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-20 18:00,2023-09-20,0,913.85,10.622,68.737,5.127,0,0,26.7,0.6,0.59,NAN,0.1209,0.1409,7.167,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-20 19:00,2023-09-20,0,914.15,8.764,74.855,4.56,0,0,25.3,0.6,0.59,NAN,0.1187,0.1381,7.167,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-20 20:00,2023-09-20,0,914.25,7.614,78.598,4.141,0,0,23.9,0.6,0.59,NAN,0.1165,0.1353,7.167,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-20 21:00,2023-09-20,0,914.25,7.003,77.995,3.437,0,0,22.5,0.6,0.59,NAN,0.115,0.1334,7.167,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-20 22:00,2023-09-20,0,913.95,6.73,78.911,3.336,0,0,22.5,0.6,0.59,NAN,0.1136,0.1317,7.192,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-20 23:00,2023-09-20,0,914.05,6.78,78.154,3.249,0,0,22.5,0.6,0.59,NAN,0.1129,0.1308,7.217,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-21 0:00,2023-09-21,0,913.85,6.711,82.02,3.866,0,0,22.5,0.6,0.59,NAN,0.1114,0.1289,7.217,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-21 1:00,2023-09-21,0,913.85,6.483,82.448,3.717,0,0,21.1,0.6,0.59,NAN,0.1107,0.1280,7.242,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-21 2:00,2023-09-21,0,913.75,6.512,81.665,3.61,0,0,19.7,0.6,0.59,NAN,0.11,0.1271,7.242,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-21 3:00,2023-09-21,0,913.35,6.507,82.472,3.744,0,0,19.7,0.6,0.59,NAN,0.1085,0.1252,7.242,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-21 4:00,2023-09-21,0,913.35,6.681,83.305,4.058,0,0,19.7,0.6,0.59,NAN,0.1078,0.1243,7.242,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-21 5:00,2023-09-21,0,913.35,6.888,83.166,4.237,0,0,19.7,0.6,0.59,NAN,0.1071,0.1235,7.242,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-21 6:00,2023-09-21,0,913.25,6.85,84.254,4.385,0,0,19.7,0.6,1.18,NAN,0.1063,0.1225,7.242,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-21 7:00,2023-09-21,0,912.95,6.665,84.778,4.292,0,0,19.7,0.6,1.18,NAN,0.1056,0.1216,7.242,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-21 8:00,2023-09-21,0,912.85,7.083,84.724,4.693,0,0,19.7,0.6,1.18,NAN,0.1049,0.1207,7.242,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-21 9:00,2023-09-21,0,912.65,8.276,82.374,5.459,0,0,19.7,6.9,1.18,NAN,0.1034,0.1188,7.242,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-21 10:00,2023-09-21,0,912.35,9.695,79.21,6.279,0,0,25.3,9.4,1.18,NAN,0.1034,0.1188,7.242,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-21 11:00,2023-09-21,0,912.15,11.504,72.306,6.706,0,0,147.4,15.6,1.18,NAN,0.102,0.1170,7.242,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-21 12:00,2023-09-21,0,911.85,12.569,68.064,6.848,0,0,147.4,11.9,1.18,NAN,0.1012,0.1160,7.242,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-21 13:00,2023-09-21,0,911.55,14.153,65.962,7.901,0,0,355.2,20.6,1.18,NAN,0.1005,0.1151,7.242,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-21 14:00,2023-09-21,0,911.05,16.647,58.264,8.43,0,0.33,212,23.1,1.18,NAN,0.0991,0.1134,7.242,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-21 15:00,2023-09-21,0,910.45,17.555,54.783,8.37,0,0,252.7,19.4,1.18,NAN,0.0983,0.1124,7.268,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-21 16:00,2023-09-21,0,909.95,16.861,58.25,8.627,0,0,331.3,9.4,1.18,NAN,0.0983,0.1124,7.293,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-21 17:00,2023-09-21,0,909.35,15.483,64.868,8.919,0,0,345.4,1.9,1.18,NAN,0.0976,0.1115,7.318,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-21 18:00,2023-09-21,0,909.25,14.451,68.07,8.649,0,0,344,0.6,1.18,NAN,0.0969,0.1106,7.343,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-21 19:00,2023-09-21,0,908.95,12.692,72.798,7.95,0,0,342.6,0.6,1.18,NAN,0.0962,0.1097,7.393,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-21 20:00,2023-09-21,0,908.75,11.612,75.703,7.481,0,0,335.5,0.6,1.18,NAN,0.0962,0.1097,7.444,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-21 21:00,2023-09-21,0,908.55,10.574,78.849,7.068,0,0,334.1,0.6,1.18,NAN,0.0954,0.1087,7.494,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-21 22:00,2023-09-21,0,908.35,9.33,83.095,6.617,0,0,334.1,0.6,1.18,NAN,0.0954,0.1087,7.544,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-21 23:00,2023-09-21,0,908.05,8.274,85.969,6.074,0,0,334.1,0.6,1.18,NAN,0.0947,0.1078,7.594,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-22 0:00,2023-09-22,0,907.85,7.909,87.912,6.038,0,0,334.1,0.6,1.18,NAN,0.094,0.1069,7.645,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
2023-09-22 1:00,2023-09-22,0,907.45,7.121,89.676,5.547,0,0,334.1,0.6,1.18,NAN,0.094,0.1069,7.67,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
