"Date Time, PST",Day,"Rain, mm","Pressure, mbar","Temp, °C","RH, %","DewPt, °C","Wind Speed, m/s","Gust Speed, m/s","Wind Direction, ø","Solar Radiation, W/m²","Wetness, %","Snow depth, cm","Water Content, m³/m³ 15 cm","WC_cal, m³/m³","Soil Temp, °C","Sfc Temp, °C","Water Content, m³/m³ 5 cm","Water Content, m³/m³ 30 cm","Temp 2, °C","RH 2, %","DewPt 2, °C","Temp 30 cm, °C","RH 30 cm, %","DewPt 30 cm, °C",Flags,Comments
2023-06-15 16:00,2023-06-15,,993.45,,41.161,,1.01,3.02,1.4,121.9,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,"Station installed, temp sensor not working from start"
2023-06-15 17:00,2023-06-15,0,993.05,,46.004,,0.5,5.54,349.6,90.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,
2023-06-15 18:00,2023-06-15,0,992.35,,58.164,,0.5,4.53,1.4,53.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,
2023-06-15 19:00,2023-06-15,0.2,991.85,,78.18,,0,2.52,355.2,24.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,
2023-06-15 20:00,2023-06-15,1.6,991.65,,91.699,,0,2.01,22.5,9.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,
2023-06-15 21:00,2023-06-15,2,991.05,,96.158,,0,0.5,53.3,3.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,
2023-06-15 22:00,2023-06-15,1,990.65,,97.232,,0,0,50.5,0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,
2023-06-15 23:00,2023-06-15,0.4,990.55,,97.676,,0,0.5,49.1,0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,
2023-06-16 0:00,2023-06-16,0.2,990.95,,97.841,,0,1.01,47.7,0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,
2023-06-16 1:00,2023-06-16,0.4,991.15,,98.439,,0,0.5,47.7,0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,
