"Date Time, PST",Day,"Rain, mm","Pressure, mbar","Temp, °C","RH, %","DewPt, °C","Wind Speed, m/s","Gust Speed, m/s","Wind Direction, ø","Solar Radiation, W/m²","Wetness, %","Snow depth, cm","Water Content, m³/m³ 15 cm","WC_cal, m³/m³","Soil Temp, °C","Sfc Temp, °C","Water Content, m³/m³ 5 cm","Water Content, m³/m³ 30 cm","Temp 2, °C","RH 2, %","DewPt 2, °C","Temp 30 cm, °C","RH 30 cm, %","DewPt 30 cm, °C",Flags,Comments
2023-07-13 12:00,2023-07-13,,928.45,23.242,39.521,8.73,0,0,162.9,85.6,0.59,NAN,0.3576,0.4565,11.929,NAN,NAN,NAN,,,,NAN,NAN,NAN,,"Station installed, will probably add redundant temp/RH later"
2023-07-13 13:00,2023-07-13,0,928.25,24,39.167,9.274,0,0,122.1,74.4,0.59,NAN,0.3344,0.4253,10.932,NAN,NAN,NAN,,,,NAN,NAN,NAN,,Soil moisture calibration will be done once samples processed
2023-07-13 14:00,2023-07-13,0,927.95,24.333,39.434,9.672,0,0,206.4,66.9,0.59,NAN,0.3293,0.4184,10.565,NAN,NAN,NAN,,,,NAN,NAN,NAN,,
2023-07-13 15:00,2023-07-13,0,927.85,24.202,39.664,9.641,0,0,214.8,55.6,0.59,NAN,0.3264,0.4145,10.516,NAN,NAN,NAN,,,,NAN,NAN,NAN,,
2023-07-13 16:00,2023-07-13,0,927.85,23.062,44.489,10.332,0,0,228.8,49.4,0.59,NAN,0.325,0.4126,10.516,NAN,NAN,NAN,,,,NAN,NAN,NAN,,
2023-07-13 17:00,2023-07-13,0,927.95,22.59,42.85,9.345,0,0,228.8,29.4,0.59,NAN,0.3228,0.4097,10.565,NAN,NAN,NAN,,,,NAN,NAN,NAN,,
2023-07-13 18:00,2023-07-13,0,928.35,21.488,47.321,9.823,0,0,228.8,20.6,0.59,NAN,0.322,0.4086,10.59,NAN,NAN,NAN,,,,NAN,NAN,NAN,,
2023-07-13 19:00,2023-07-13,0,928.85,20.298,51.768,10.072,0,0,192.3,4.4,0.59,NAN,0.3213,0.4077,10.638,NAN,NAN,NAN,,,,NAN,NAN,NAN,,
2023-07-13 20:00,2023-07-13,0,929.35,17.775,59.988,9.923,0,0,169.9,0.6,0.59,NAN,0.3206,0.4067,10.663,NAN,NAN,NAN,,,,NAN,NAN,NAN,,
2023-07-13 21:00,2023-07-13,0,929.85,15.341,70.411,10.004,0,0,169.9,0.6,0.59,NAN,0.3199,0.4058,10.687,NAN,NAN,NAN,,,,NAN,NAN,NAN,,
2023-07-13 22:00,2023-07-13,0,930.05,13.732,79.005,10.171,0,0,169.9,0.6,1.76,NAN,0.3199,0.4058,10.687,NAN,NAN,NAN,,,,NAN,NAN,NAN,,
2023-07-13 23:00,2023-07-13,0,930.35,12.593,82.502,9.706,0,0,169.9,0.6,1.76,NAN,0.3199,0.4058,10.663,NAN,NAN,NAN,,,,NAN,NAN,NAN,,
2023-07-14 0:00,2023-07-14,0,930.45,11.617,85.734,9.321,0,0,169.9,0.6,2.35,NAN,0.3191,0.4047,10.663,NAN,NAN,NAN,,,,NAN,NAN,NAN,,
2023-07-14 1:00,2023-07-14,0,930.55,10.655,88.029,8.766,0,0,169.9,0.6,2.35,NAN,0.3191,0.4047,10.638,NAN,NAN,NAN,,,,NAN,NAN,NAN,,
