station_name,matched_db_name,vars_in_both,vars_only_file,vars_only_db,var_and_unit_db
Atlin School,Atlin,[],"['Air Temp', 'Air Temp 2', 'Gd Temp 25 cm', 'Gd Temp 50 cm', 'Gd Temp 75 cm', 'Gust Speed', 'Rain', 'Sfc Temp', 'Solar Radiation', 'Wind Direction', 'Wind Speed']","['CURRENT_AIR_TEMPERATURE1', 'HEIGHT_OF_SNOW', 'MAXIMUM_AIR_TEMPERATURE', 'MINIMUM_AIR_TEMPERATURE', 'PRECIPITATION_NEW', 'RELATIVE_HUMIDITY1', 'STANDARD_SNOW', 'STORM_SNOW']","{'CURRENT_AIR_TEMPERATURE1': 'celsius', 'HEIGHT_OF_SNOW': 'cm', 'MAXIMUM_AIR_TEMPERATURE': 'celsius', 'MINIMUM_AIR_TEMPERATURE': 'celsius', 'PRECIPITATION_NEW': 'mm', 'RELATIVE_HUMIDITY1': '%', 'STANDARD_SNOW': 'cm', 'STORM_SNOW': 'cm'}"
BarrenWx,BarrenWx,['RH'],"['DewPt', 'Gust Speed', 'Pressure', 'Rain', 'Soil Temp', 'Solar Radiation', 'Temp', 'WC_cal', 'Water Content', 'Wind Direction', 'Wind Speed']","['DewPtC', 'GustSpeedms', 'Pressurembar', 'Rainmm', 'Soil_Temp', 'SolarRadiationWm', 'TempC', 'Water_Content_m3_m3_15_cm', 'Water_Content_m3_m3_30_cm', 'Water_Content_m3_m3_5_cm', 'WindDirection', 'WindSpeedms']","{'DewPtC': 'celsius', 'GustSpeedms': 'm s-1', 'Pressurembar': 'millibar', 'Rainmm': 'mm', 'RH': '%', 'Soil_Temp': 'celsius', 'SolarRadiationWm': 'W m-2', 'TempC': 'celsius', 'Water_Content_m3_m3_15_cm': 'm3/m3', 'Water_Content_m3_m3_30_cm': 'm3/m3', 'Water_Content_m3_m3_5_cm': 'm3/m3', 'WindDirection': 'degree', 'WindSpeedms': 'm s-1'}"
BlackhawkWx,Blackhawk,['RH'],"['DewPt', 'Gust Speed', 'Pressure', 'Rain', 'Solar Radiation', 'Temp', 'Wind Direction', 'Wind Speed']","['DewPtC', 'GustSpeedms', 'Pressurembar', 'Rainmm', 'Snow_Depth', 'SolarRadiationWm', 'TempC', 'Water_Content_m3_m3_15_cm', 'WindDirection', 'WindSpeedms']","{'DewPtC': 'celsius', 'GustSpeedms': 'm s-1', 'Pressurembar': 'millibar', 'Rainmm': 'mm', 'RH': '%', 'Snow_Depth': 'cm', 'SolarRadiationWm': 'W m-2', 'TempC': 'celsius', 'Water_Content_m3_m3_15_cm': 'm3/m3', 'WindDirection': 'degree', 'WindSpeedms': 'm s-1'}"
BoulderWx,Boulder Creek,['RH'],"['DewPt', 'Gust Speed', 'Pressure', 'Rain', 'Solar Radiation', 'Temp', 'Wind Direction', 'Wind Speed']","['DewPtC', 'GustSpeedms', 'Pressurembar', 'Rainmm', 'SolarRadiationWm', 'TempC', 'Water_Content_m3_m3_15_cm', 'Wetness', 'WindDirection', 'WindSpeedms']","{'DewPtC': 'celsius', 'GustSpeedms': 'm s-1', 'Pressurembar': 'millibar', 'Rainmm': 'mm', 'RH': '%', 'SolarRadiationWm': 'W m-2', 'TempC': 'celsius', 'Water_Content_m3_m3_15_cm': 'm3/m3', 'Wetness': '%', 'WindDirection': 'degree', 'WindSpeedms': 'm s-1'}"
BowronPit,Bowron Pit,[],"['DewPt 2', 'RH 2', 'Temp 2']","['DewPtC', 'GustSpeedms', 'Pressurembar', 'RH', 'Rainmm', 'Snow_Depth', 'SolarRadiationWm', 'TempC', 'Water_Content_m3_m3_15_cm', 'WindDirection', 'WindSpeedms']","{'DewPtC': 'celsius', 'GustSpeedms': 'm s-1', 'Pressurembar': 'millibar', 'Rainmm': 'mm', 'RH': '%', 'Snow_Depth': 'cm', 'SolarRadiationWm': 'W m-2', 'TempC': 'celsius', 'Water_Content_m3_m3_15_cm': 'm3/m3', 'WindDirection': 'degree', 'WindSpeedms': 'm s-1'}"
BulkleyWx,BulkleyWx,['RH'],"['DewPt', 'Gust Speed', 'Pressure', 'Rain', 'Solar Radiation', 'Temp', 'Wind Direction', 'Wind Speed']","['DewPtC', 'GustSpeedms', 'Pressurembar', 'Rainmm', 'SolarRadiationWm', 'TempC', 'Wetness', 'WindDirection', 'WindSpeedms']","{'DewPtC': 'celsius', 'GustSpeedms': 'm s-1', 'Pressurembar': 'millibar', 'Rainmm': 'mm', 'RH': '%', 'SolarRadiationWm': 'W m-2', 'TempC': 'celsius', 'Wetness': '%', 'WindDirection': 'degree', 'WindSpeedms': 'm s-1'}"
CPFWx,CPFWx,['RH'],"['DewPt', 'Gust Speed', 'Pressure', 'Rain', 'Solar Radiation', 'Temp', 'Wind Direction', 'Wind Speed']","['DewPtC', 'GustSpeedms', 'Pressurembar', 'Rainmm', 'SolarRadiationWm', 'TempC', 'Wetness', 'WindDirection', 'WindSpeedms']","{'DewPtC': 'celsius', 'GustSpeedms': 'm s-1', 'Pressurembar': 'millibar', 'Rainmm': 'mm', 'RH': '%', 'SolarRadiationWm': 'W m-2', 'TempC': 'celsius', 'Wetness': '%', 'WindDirection': 'degree', 'WindSpeedms': 'm s-1'}"
Canoe Mountain Stn,Canoe Mountain Stn,['RH'],"['DewPt', 'Gust Speed', 'Pressure', 'Rain', 'Solar Radiation', 'Temp', 'Wind Direction', 'Wind Speed']","['DewPtC', 'GustSpeedms', 'Pressurembar', 'Rainmm', 'SolarRadiationWm', 'TempC', 'WindDirection', 'WindSpeedms']","{'DewPtC': 'celsius', 'GustSpeedms': 'm s-1', 'Pressurembar': 'millibar', 'Rainmm': 'mm', 'RH': '%', 'SolarRadiationWm': 'W m-2', 'TempC': 'celsius', 'WindDirection': 'degree', 'WindSpeedms': 'm s-1'}"
Caribou Pass,Caribou Pass,['RH'],"['DewPt', 'DewPt 2', 'Gust Speed', 'Pressure', 'RH 2', 'Rain', 'Solar Radiation', 'Temp', 'Temp 2', 'Wind Direction', 'Wind Speed']","['DewPtC', 'GustSpeedms', 'Pressurembar', 'Rainmm', 'SolarRadiationWm', 'TempC', 'WindDirection', 'WindSpeedms']","{'DewPtC': 'celsius', 'GustSpeedms': 'm s-1', 'Pressurembar': 'millibar', 'Rainmm': 'mm', 'RH': '%', 'SolarRadiationWm': 'W m-2', 'TempC': 'celsius', 'WindDirection': 'degree', 'WindSpeedms': 'm s-1'}"
ChapmanWx,ChapmanWx,['RH'],"['DewPt', 'Gust Speed', 'Pressure', 'Rain', 'Soil Temp', 'Solar Radiation', 'Temp', 'WC_cal', 'Water Content', 'Wind Direction', 'Wind Speed']","['DewPtC', 'GustSpeedms', 'Pressurembar', 'Rainmm', 'Soil_Temp', 'SolarRadiationWm', 'TempC', 'Water_Content_m3_m3_15_cm', 'Water_Content_m3_m3_30_cm', 'Water_Content_m3_m3_5_cm', 'WindDirection', 'WindSpeedms']","{'DewPtC': 'celsius', 'GustSpeedms': 'm s-1', 'Pressurembar': 'millibar', 'Rainmm': 'mm', 'RH': '%', 'Soil_Temp': 'celsius', 'SolarRadiationWm': 'W m-2', 'TempC': 'celsius', 'Water_Content_m3_m3_15_cm': 'm3/m3', 'Water_Content_m3_m3_30_cm': 'm3/m3', 'Water_Content_m3_m3_5_cm': 'm3/m3', 'WindDirection': 'degree', 'WindSpeedms': 'm s-1'}"
ChiefLakeWx,CHIEF LAKE,[],"['DewPt', 'Gust Speed', 'Pressure', 'RH', 'Rain', 'Solar Radiation', 'Temp', 'WC_cal', 'Water Content', 'Wetness', 'Wind Direction', 'Wind Speed']","['ACCPPT1', 'ACCPPT2', 'MAXTMP', 'MINTMP', 'ONE_DAY_PRECIPITATION', 'ONE_DAY_RAIN', 'ONE_DAY_SNOW', 'Precip_Climatology']","{'ACCPPT1': 'mm', 'ACCPPT2': 'mm', 'MAXTMP': 'celsius', 'MINTMP': 'celsius', 'ONE_DAY_PRECIPITATION': 'mm', 'ONE_DAY_RAIN': 'mm', 'ONE_DAY_SNOW': 'cm', 'Precip_Climatology': 'mm'}"
CoalmineWx,Coalmine Wx,[],"['DewPt 2', 'RH 2', 'Temp 2']","['DewPtC', 'GustSpeedms', 'Pressurembar', 'RH', 'Rainmm', 'SolarRadiationWm', 'TempC', 'Water_Content_m3_m3_15_cm', 'WindDirection', 'WindSpeedms']","{'DewPtC': 'celsius', 'GustSpeedms': 'm s-1', 'Pressurembar': 'millibar', 'Rainmm': 'mm', 'RH': '%', 'SolarRadiationWm': 'W m-2', 'TempC': 'celsius', 'Water_Content_m3_m3_15_cm': 'm3/m3', 'WindDirection': 'degree', 'WindSpeedms': 'm s-1'}"
CrystalWx,Crystal Lake,"['RH', 'Wetness']","['DewPt', 'Gust Speed', 'Pressure', 'Rain', 'Solar Radiation', 'Temp', 'Wind Direction', 'Wind Speed']","['DewPtC', 'GustSpeedms', 'Pressurembar', 'Rainmm', 'SolarRadiationWm', 'TempC', 'Water_Content_m3_m3_15_cm', 'WindDirection', 'WindSpeedms']","{'DewPtC': 'celsius', 'GustSpeedms': 'm s-1', 'Pressurembar': 'millibar', 'Rainmm': 'mm', 'RH': '%', 'SolarRadiationWm': 'W m-2', 'TempC': 'celsius', 'Water_Content_m3_m3_15_cm': 'm3/m3', 'Wetness': '%', 'WindDirection': 'degree', 'WindSpeedms': 'm s-1'}"
Dennis,Dennis,['RH'],"['DewPt', 'Gust Speed', 'Pressure', 'Rain', 'Soil Temp', 'Solar Radiation', 'Temp', 'Water Content', 'Wind Direction', 'Wind Speed']","['DewPtC', 'GustSpeedms', 'Pressurembar', 'Rainmm', 'Soil_Temp', 'SolarRadiationWm', 'TempC', 'Water_Content_m3_m3_15_cm', 'Water_Content_m3_m3_30_cm', 'Water_Content_m3_m3_5_cm', 'WindDirection', 'WindSpeedms']","{'DewPtC': 'celsius', 'GustSpeedms': 'm s-1', 'Pressurembar': 'millibar', 'Rainmm': 'mm', 'RH': '%', 'Soil_Temp': 'celsius', 'SolarRadiationWm': 'W m-2', 'TempC': 'celsius', 'Water_Content_m3_m3_15_cm': 'm3/m3', 'Water_Content_m3_m3_30_cm': 'm3/m3', 'Water_Content_m3_m3_5_cm': 'm3/m3', 'WindDirection': 'degree', 'WindSpeedms': 'm s-1'}"
