station_name,native_id,station_file_name,lat,lon,elev,variable,unit_raw,earliest_time_raw,latest_time_raw,db_var_match,unit_db,matched_name,earliest_time_db,latest_time_db,earliest_diff_days,latest_diff_days,Has_inserted,score
Atlin School,AtlSch,Atlin school,59.574,-133.687,705,Air Temp,°C,2010-08-20 19:00:00,2024-08-10 19:00:00,,,,,,,,No,61.53846153846154
Atlin School,AtlSch,Atlin school,59.574,-133.687,705,Gd Temp 75 cm,°C,2010-08-20 19:00:00,2024-08-10 19:00:00,,,,,,,,No,44.44444444444444
Atlin School,AtlSch,Atlin school,59.574,-133.687,705,Gd Temp 50 cm,°C,2010-08-20 19:00:00,2024-08-10 19:00:00,,,,,,,,No,44.44444444444444
Atlin School,AtlSch,Atlin school,59.574,-133.687,705,Gd Temp 25 cm,°C,2010-08-20 19:00:00,2024-08-10 19:00:00,,,,,,,,No,44.44444444444444
Atlin School,AtlSch,Atlin school,59.574,-133.687,705,Sfc Temp,°C,2010-08-20 19:00:00,2024-08-10 19:00:00,,,,,,,,No,61.53846153846154
Atlin School,AtlSch,Atlin school,59.574,-133.687,705,Air Temp 2,°C,2010-08-20 19:00:00,2024-08-10 19:00:00,,,,,,,,No,53.333333333333336
BarrenWx,Barren,Barren,54.510444,-126.614341,1051,WC_cal,m³/m³,2021-07-09 12:00:00,2024-10-03 11:00:00,,,,,,,,No,21.052631578947366
BlackhawkWx,Blackhawk,Blackhawk,55.078885,-120.352171,962,Snow depth raw,cm,2012-05-24 13:00:00,2025-01-07 10:00:00,,,,,,,,No,66.66666666666667
BlackhawkWx,Blackhawk,Blackhawk,55.078885,-120.352171,962,WC_cal,m?/m?,2012-05-24 13:00:00,2025-01-07 10:00:00,,,,,,,,No,21.052631578947366
BoulderWx,Boulder Creek,BoulderCr,55.108173,-127.37474,385,WC_cal,m³/m³,2010-06-07 13:00:00,2024-08-07 08:00:00,,,,,,,,No,21.052631578947366
BowronPit,BowronPit,Bowron Pit,53.902111,-122.015389,722,Snow depth raw,cm,2018-08-29 15:00:00,2025-01-07 11:00:00,,,,,,,,No,66.66666666666667
BowronPit,BowronPit,Bowron Pit,53.902111,-122.015389,722,WC_cal,m³/m³,2018-08-29 15:00:00,2025-01-07 11:00:00,,,,,,,,No,21.052631578947366
BowronPit,BowronPit,Bowron Pit,53.902111,-122.015389,722,Temp 2,°C,2018-08-29 15:00:00,2025-01-07 11:00:00,,,,,,,,No,72.72727272727273
BowronPit,BowronPit,Bowron Pit,53.902111,-122.015389,722,RH 2,%,2018-08-29 15:00:00,2025-01-07 11:00:00,,,,,,,,No,66.66666666666667
BowronPit,BowronPit,Bowron Pit,53.902111,-122.015389,722,DewPt 2,°C,2018-08-29 15:00:00,2025-01-07 11:00:00,,,,,,,,No,76.92307692307692
BowronPit,BowronPit,Bowron Pit,53.902111,-122.015389,722,Snow sensor Temp,°C,2018-08-29 15:00:00,2025-01-07 11:00:00,,,,,,,,No,48.0
Caribou Pass,CaribouPass,Caribou Pass,58.35718,-129.54637,1744,Temp 2,?C,2023-08-04 11:00:00,2025-01-07 14:00:00,,,,,,,,No,72.72727272727273
Caribou Pass,CaribouPass,Caribou Pass,58.35718,-129.54637,1744,RH 2,%,2023-08-04 11:00:00,2025-01-07 14:00:00,,,,,,,,No,66.66666666666667
Caribou Pass,CaribouPass,Caribou Pass,58.35718,-129.54637,1744,DewPt 2,?C,2023-08-04 11:00:00,2025-01-07 14:00:00,,,,,,,,No,76.92307692307692
ChapmanWx,Chapman,Chapman,54.883903,-126.623533,848,WC_cal,m?/m?,2021-07-08 12:00:00,2024-10-03 14:00:00,,,,,,,,No,21.052631578947366
ChiefLakeWx,ChiefWx,ChiefLk,54.238028,-122.877306,720,WC_cal,m?/m?,2019-07-05 13:00:00,2024-10-09 10:00:00,,,,,,,,No,21.052631578947366
CoalmineWx,CoalmineWx,Coalmine,53.741139,-121.784639,840,WC_cal,m³/m³,2018-08-29 14:00:00,2024-09-12 12:00:00,,,,,,,,No,21.052631578947366
CoalmineWx,CoalmineWx,Coalmine,53.741139,-121.784639,840,Temp 2,°C,2018-08-29 14:00:00,2024-09-12 12:00:00,,,,,,,,No,72.72727272727273
CoalmineWx,CoalmineWx,Coalmine,53.741139,-121.784639,840,RH 2,%,2018-08-29 14:00:00,2024-09-12 12:00:00,,,,,,,,No,66.66666666666667
CoalmineWx,CoalmineWx,Coalmine,53.741139,-121.784639,840,DewPt 2,°C,2018-08-29 14:00:00,2024-09-12 12:00:00,,,,,,,,No,76.92307692307692
CrystalWx,Crystal Lake,CrystalLk,54.423494,-122.627844,744,WC_cal,m³/m³,2010-04-29 13:00:00,2024-10-18 13:00:00,,,,,,,,No,21.052631578947366
Dennis,McDonn,Dennis,54.78217,-127.514341,980,WC_cal,m³/m³,2021-07-07 17:00:00,2024-10-04 09:00:00,,,,,,,,No,21.052631578947366
DunsterWx,Dunster,Dunster,53.114909,-119.835293,890,Snow depth raw,cm,2013-09-05 14:00:00,2025-01-07 14:00:00,,,,,,,,No,66.66666666666667
DunsterWx,Dunster,Dunster,53.114909,-119.835293,890,WC_cal,m³/m³,2013-09-05 14:00:00,2025-01-07 14:00:00,,,,,,,,No,21.052631578947366
DunsterWx,Dunster,Dunster,53.114909,-119.835293,890,Rain2,mm,2013-09-05 14:00:00,2025-01-07 14:00:00,,,,,,,,No,72.72727272727273
EndakoWx,Endako,Endako,54.422392,-125.991293,851,WC_cal,m?/m?,2007-09-13 13:00:00,2024-09-24 12:00:00,,,,,,,,No,21.052631578947366
GeorgeWx,George,George,53.883555,-124.710668,859,WC_cal,m?/m?,2007-09-14 12:00:00,2024-09-18 11:00:00,,,,,,,,No,21.052631578947366
HourglassWx,Hourglass ,Hourglass,55.21275,-120.771635,1131,Snow depth raw,cm,2012-05-23 17:00:00,2025-01-07 15:00:00,,,,,,,,No,66.66666666666667
HourglassWx,Hourglass ,Hourglass,55.21275,-120.771635,1131,WC_cal,m³/m³,2012-05-23 17:00:00,2025-01-07 15:00:00,,,,,,,,No,21.052631578947366
Kluskus,SBSmc3Wx,Kluskus,53.397852,-124.513069,1110,WC_cal,m³/m³,2010-07-15 17:00:00,2024-09-16 11:00:00,,,,,,,,No,21.052631578947366
Kluskus,SBSmc3Wx,Kluskus,53.397852,-124.513069,1110,Temp 2,°C,2010-07-15 17:00:00,2024-09-16 11:00:00,,,,,,,,No,72.72727272727273
Kluskus,SBSmc3Wx,Kluskus,53.397852,-124.513069,1110,RH 2,%,2010-07-15 17:00:00,2024-09-16 11:00:00,,,,,,,,No,66.66666666666667
Kluskus,SBSmc3Wx,Kluskus,53.397852,-124.513069,1110,DewPt 2,°C,2010-07-15 17:00:00,2024-09-16 11:00:00,,,,,,,,No,76.92307692307692
MacJxnWx,Mackenzie Jxn,MacJxn,55.137858,-122.977243,719,WC_cal,m³/m³,2010-04-28 14:00:00,2024-08-28 09:00:00,,,,,,,,No,21.052631578947366
MiddleforkWx,MF1,Middlefork,57.550917,-122.7963,972,WC_cal,m³/m³,2007-07-11 20:00:00,2024-08-14 12:00:00,,,,,,,,No,21.052631578947366
NondaWx,Nonda1,NondaWx,59.002111,-125.509361,1683,Temp 2,°C,2007-07-12 16:00:00,2025-01-09 08:00:00,,,,,,,,No,72.72727272727273
NondaWx,Nonda1,NondaWx,59.002111,-125.509361,1683,RH 2,%,2007-07-12 16:00:00,2025-01-09 08:00:00,,,,,,,,No,66.66666666666667
NondaWx,Nonda1,NondaWx,59.002111,-125.509361,1683,DewPt 2,°C,2007-07-12 16:00:00,2025-01-09 08:00:00,,,,,,,,No,76.92307692307692
PinkWx,Pink1,PinkMtnWx,57.06163,-122.86491,1756,Temp 2,°C,2008-09-08 16:00:00,2025-01-09 08:00:00,,,,,,,,No,72.72727272727273
PinkWx,Pink1,PinkMtnWx,57.06163,-122.86491,1756,RH 2,%,2008-09-08 16:00:00,2025-01-09 08:00:00,,,,,,,,No,66.66666666666667
PinkWx,Pink1,PinkMtnWx,57.06163,-122.86491,1756,DewPt 2,°C,2008-09-08 16:00:00,2025-01-09 08:00:00,,,,,,,,No,76.92307692307692
