station_name,db_matched_name,raw_lat,raw_lon,db_lat,db_lon,distance_km,match
Atlin School,,59.574,-133.687,,,,❌ not in DB
BarrenWx,BarrenWx,54.510444,-126.614341,54.51044,-126.6143,0.0026926769109304857,✅ same
BlackhawkWx,Blackhawk,55.078885,-120.352171,55.0789,-120.352,0.011048436734052893,✅ same
BoulderWx,Boulder Creek,55.108173,-127.37474,55.1082,-127.375,0.016863712921980186,✅ same
BowronPit,Bowron Pit,53.902111,-122.015389,53.902111,-122.015389,0.0,✅ same
BulkleyWx,BulkleyWx,53.772183,-122.720729,53.771956,-122.720939,0.02881052581550628,✅ same
CPFWx,CPFWx,53.753775,-122.718864,53.753756,-122.718803,0.0045455559716539905,✅ same
Canoe Mountain Stn,Canoe Mountain Stn,52.70982,-119.19126,52.7098,-119.191,0.01771286945969244,✅ same
Caribou Pass,Caribou Pass,58.35718,-129.54637,58.35718,-129.54637,0.0,✅ same
ChapmanWx,ChapmanWx,54.883903,-126.623533,54.8839,-126.6235,0.0021440687693785794,✅ same
ChiefLakeWx,Chief Lake,54.238028,-122.877306,54.23821,-122.8775,0.023882970937085447,✅ same
CoalmineWx,Coalmine Wx,53.741139,-121.784639,53.741139,-121.784639,0.0,✅ same
CrookedLk,,59.88626,-126.42886,,,,❌ not in DB
CrystalWx,Crystal Lake,54.423494,-122.627844,54.4235,-122.628,0.010147710954398509,✅ same
Dennis,Dennis,54.78217,-127.514341,,,,⚠️ different
DunsterWx,Dunster,53.114909,-119.835293,53.1149,-119.835,0.019644493534404384,✅ same
EndakoWx,EndakoWx,54.422392,-125.991293,54.422278,-125.991497,0.018340388637925406,✅ same
GeorgeWx,GeorgeWx,53.883555,-124.710668,53.963903,-124.663289,9.469203851865526,✅ same
GunnelWx,GunnelWx,58.75475,-123.977683,58.75475,-123.977683,0.0,✅ same
HourglassWx,Hourglass,55.21275,-120.771635,55.3575,-120.85,16.866568770595727,⚠️ different
Hudson Bay Mtn2,Hudson Bay Mtn2,54.77375,-127.27216,54.7734,-127.2424,1.915571204126965,✅ same
IBB2Wx,,54.81127,-126.92067,,,,❌ not in DB
IBB3Wx,,54.71172,-127.30577,,,,❌ not in DB
Inklin,,58.900859,-133.140416,,,,❌ not in DB
Kluskus,Kluskus,53.397852,-124.513069,53.3831,-124.5121,1.6430685131503266,✅ same
MacJxnWx,Mackenzie Jxn,55.137858,-122.977243,55.1379,-122.977,0.016187199010552517,✅ same
MiddleforkWx,MiddleforkWx,57.550917,-122.7963,57.550917,-122.7963,0.0,✅ same
NondaWx,NondaWx,59.002111,-125.509361,59.002111,-125.509361,0.0,✅ same
PinkWx,PinkWx,57.06163,-122.86491,57.062067,-122.8651,0.05001142200584674,✅ same
SaxtonWx,SaxtonWx,54.027523,-123.300774,54.027527,-123.030078,17.73937672853085,⚠️ different
SeebachWx,,54.355,122.058,,,,❌ not in DB
Sunbeam,Sunbeam,53.33869,-120.12108,53.33869,-120.12108,0.0,✅ same
Tamarac,BednestiWx,53.871334,-123.370441,53.87133,-123.3704,0.002733392096724625,✅ same
ThompsonWx,ThompsonWx,54.333115,-126.099445,54.336006,-126.101008,0.33748005283140736,✅ same
Willow-BowronWx,Willow-BowronWx,53.772577,-122.724634,53.772461,-122.724517,0.015039909800798485,✅ same
