Network ID,Station_name,native_id,lat,lon,Elevation
10.0,Summerland Front Bench,AGOKNGSLFB,49.5794,-119.651,426.0
10.0,Alkali Lake,AGAL001,51.79027778,-121.2511111,677.0
10.0,BCGPA Dawson Creek,AGBCPRDNCK,55.7721,-120.143,673.0
10.0,Bearflats,AGBCPRBFLT,56.2461,-121.308,504.0
10.0,Bella Vista,AGOKNGBVST,50.2551,-119.3413,437.0
10.0,Buick,AGBCPRBUIK,56.7637,-121.085,757.0
10.0,Canyon,AGCRESCNYN,49.0853,-116.4475,659.0
10.0,Cecil Lake,BCPRCCLK,56.3062,-120.531,718.0
10.0,Central Erickson,CRESCEKN,49.0884,-116.4851,648.0
10.0,Crescent Island,AGDLTACRES,49.1255,-123.0348,3.0
10.0,Farmington,AGBCPRFMTN,55.9103,-120.586,717.0
10.0,Flatrock,AGBCPRFRCK,56.2691,-120.421,693.0
10.0,Grandview Flats,AGOKNGGDVW,50.382,-119.2963,461.0
10.0,Groundbirch,AGBCPRGNDB,55.7703,-120.874,743.0
10.0,Hullcar Rd East,AGHE015,50.54694,-119.22888,531.0
10.0,Hullcar Rd West,AGHW016,50.53416,-119.28027,561.0
10.0,Kaleden,AGKD017,49.399,-119.6045,440.0
10.0,Kelly Lake,AGBCPRKYLK,55.2531,-120.079,880.0
10.0,Keremeos Bipass,AGOKNGKMBP,49.2218,-119.8242,456.0
10.0,Lavington,AGOKNGLVTN,50.2254,-119.1002,550.0
10.0,Merville,AGVISLMRVL,49.7788,-125.0485,49.0
10.0,Monte Creek,AGMC021,50.6436078,-119.9330295,385.0
10.0,Montney - Bickfords,AGBCPRMNBK,56.3537,-120.878,693.0
10.0,Naramata Bench,AGOKNGMNTA,49.5342,-119.5672,413.0
10.0,North Crawford Rd,AGOKNGCRFD,50.4823,-119.2424,535.0
10.0,North Erickson,AGCRESNEKN,49.104,-116.4653,710.0
10.0,North Grand Forks,AGCRESGRFK,49.0465,-118.4845,593.0
10.0,North Lister (Riverview),AGCRESRIVW,49.0618,-116.5081,609.0
10.0,Osoyoos North,AGOKNGOSSN,49.0582,-119.5088,328.0
10.0,Osoyoos Upper Bench,AGOKNGOSUB,49.0224,-119.4227,356.0
10.0,Permberton Meadows,AGPM022,50.4912,-122.9662,226.0
10.0,Prespatou,AGBCPRPPTO,56.9021,-121.062,734.0
10.0,Rolla,AGBCPRROLA,55.8597,-120.196,718.0
10.0,Saanichton,AGVISLSCTN,48.5564,-123.4153,90.0
10.0,South ErickSon,AGCRESSEKN,49.0803,-116.4931,650.0
10.0,South Kelowna,AGOKNGSKLN,49.8299,-119.452,473.0
10.0,Tomslake,AGBCPRTMLK,55.569,-120.128,744.0
10.0,Tower Lake,AGBCPRTWLK,56.0151,-120.601,783.0
10.0,Tsawwassen,AGDLTATWSN,49.0393,-123.0639,3.0
10.0,Upper Halfway,AGBCPRUPHW,56.5215,-122.313,674.0
10.0,West Kelowna (ROM),AGWK004,49.868,-119.5746,487.0
10.0,Westham Island,AGWI027,49.0827,-123.158,7.0
10.0,Winfield North,AGOKNGWFDN,50.0596,-119.4343,455.0
10.0,Winfield South,AGOKNGWFDS,50.0471,-119.4205,506.0
10.0,Wynndel,AGCRESWNDL,49.1678,-116.5696,533.0
10.0,Fellers Heights,AGBCPRFLHT,55.6058,-120.513,731.0
10.0,Glenmore,AGOKNGGLMR,49.9154,-119.4223,447.0
10.0,Spius Creek,AGSC026,50.14111111,-121.0258333,531.0
2.0,Johnson Hill,14093,,,
12.0,LITTLE CHOPAKA,,49.0251,-119.6909,461.0
12.0,TERRACE,,54.438,-128.5714,199.0
12.0,Willis,,49.3394,-120.4071,1455.0
12.0,BURNS LAKE 850,,54.2591,-125.7599,830.0
12.0,KOMIE,,59.3394,-122.0718,704.0
12.0,WILDHORSE WX,,51.2333,-122.15,577.0
12.0,CHETWYND FB,,55.6907,-121.6137,616.0
12.0,BLUEBERRY,,53.3159,-119.6007,1088.0
12.0,TS TSITIKA,,50.3752,-126.5401,211.0
12.0,MESACHIE 3,,48.8199,-124.131,197.0
12.0,MASHITER,,49.752,-123.0983,262.0
12.0,BAKER CREEK,,52.9639,-122.8311,826.0
12.0,BEGBIE SF,509,51.4733,-121.36,1276.0
76.0,Agassiz - Centential Park,T051,49.2384,-121.7748,23.0
5.0,Gold River Below Ucona River 2,GLD 2,49.7032,-126.109406,10.0
5.0,Rees Creek,REC,49.6053611,-125.288167,280.0
14.0,July Mountain,1C45P,49.70764,-121.08547,1860.0
14.0,Paradise Lake,AC44P,49.948639,-120.28227,1640.0
14.0,Deadman River,1C32P,51.09851,-120.60969,1430.0
14.0,Penfold Creek,1C23P,52.74882,-120.56057,1740.0
14.0,Puntzi,1C22AP,52.109,-124.15273,920.0
14.0,Mount Timothy,1C17P,51.90453,-121.25604,1630.0
14.0,Longworth Upper,1A05P,53.95083,-121.443056,1693.0
14.0,Trophy Mountain,1E03AP,51.808369,-119.940639,1880.0
14.0,Farron,2B02AP,49.27017,-118.13016,1230.0
14.0,Gray Creek Lower,2D05P,49.61142,-116.6788,1650.0
14.0,Gray Creek Upper,2D10P,49.61656,-116.6584,1930.0
14.0,McCulloch,2F03AP,49.76731,-119.12403,1245.0
14.0,Oyama Lake,2F19P,50.11633,-119.279,1360.0
14.0,Whiterocks Mountain,2F09P,50.01691,-119.7461,1795.0
14.0,Hamilton Hill,2G06P,49.49914,-120.79439,1480.0
14.0,Mount Arrowsmith,3B26p,49.207376,-124.567776,1460.0
14.0,Tetrahedron,3A28P,49.597854,-123.604999,1423.0
14.0,Granduc,4B12P,56.24674,-130.0661,790.0
15.0,Lower Capilano Fire Weather,01FW02,49.38667,-123.11944,250.0
15.0,Hesketh MET station,01FW04,49.4616,-123.1311,600.0
15.0,Enchantment Creek,01HY03,49.48524,-123.12674,305.0
15.0,Capilano Lake Raft,01WQ01,49.36617,-123.11361,145.0
15.0,Lower Seymour Fire Weather,02FW01,49.37925,-122.99552,185.0
15.0,Seymour Lake Raft,03WQ01,49.44935,-122.96094,214.0
15.0,Coquitlam Lake Raft 3,04WQ03,49.35888,-122.78667,150.0
15.0,Capilano River above Lakehead,08GA'-> 010,49.39637,-123.14583,183.0
15.0,Capilano River at Mid Valley,08GA'-> 026,49.45389,-123.10972,305.0
15.0,Seymour river below Orchid Creek,08GA077,49.52,-123.0038889,320.0
15.0,Disappointment Lake,1D18P,49.555,-122.7591667,1050.0
15.0,Pallisade Lake,3A09P,49.45444444,-123.0316667,900.0
15.0,Orchid Lake,3A19P,49.53611111,-123.05,1180.0
15.0,Loch Lomond,3A29P,49.59233,-123.04145,1065.0
15.0,Cedar Creek above the Mouth,8MH166,49.38083333,-122.7766667,150.0
10.0,Belgo 2,AGOKNGBLGO,49.8767,-119.384,468.0
10.0,Benvoulin,AGOKNGBNVN,49.872,-119.4491,357.0
10.0,Blue Springs,BLUSPRNG,50.248,-118.869,580.0
10.0,Boundary Bay,AGBB003,49.0791,-122.986,8.0
10.0,Cawston Bench,AGOKNGCWSTB,49.1851,-119.7442,421.0
10.0,Creston Flats,AGCRESFLAT,49.0418,-116.5674,536.0
10.0,Doe River,AGBCPRDORV,56.0888,-120.038,606.0
10.0,East Kelowna,AGOKNGEKLN,49.8654,-119.4201,434.0
10.0,Ellison,AGOKNGELSN,49.9508,-119.3652,436.0
10.0,Goodlow,AGBCPRGDLW,56.3335,-120.183,676.0
10.0,Grand Forks,AGGF011,49.006,-118.485,536.0
10.0,Koksilah,AGVISLKKSL,48.7319,-123.6917,40.0
10.0,Ladner,AGDLTALDNR,49.0637,-123.0793,0.0
10.0,Lone Prairie,AGBCPRLNPR,55.5903,-121.26,729.0
10.0,Penticton East,AGPE010,49.4617,-119.575,400.0
10.0,Pouce Coupe,AGBCPRPCCP,55.7056,-120.087,665.0
10.0,Rose Prairie,AGBCPRRSPR,56.5376,-120.767,713.0
10.0,Westwold,WESTWOLD,50.4788,-119.765,654.0
10.0,Summerland North (Jones Flat),AGOKNGJNFT,49.6141,-119.6944,514.0
10.0,Silver Creek,OKNGSVCK,50.6304,-119.3839,361.0
2.0,Trout Lake,12092,49.5073,-123.87978,164.0
2.0,Port Mann Bridge Mid Span,14092,49.21778,-122.81194,40.0
2.0,Highline,26521,50.62331,-122.44316,742.0
2.0,Steamboat,36195,49.4744,-115.52456,822.0
2.0,,37127,51.30397,-116.89487,1023.0
2.0,Racetrack,24094,,,
2.0,Galena Road,38495,50.70195,-117.74273,884.0
2.0,Slocan Lake,34891,,,
12.0,KASIKS PNG,4332,54.3233,-129.3252,10.0
76.0,Tsawwassen,T039,,,
5.0,Alouette Dam East Embankment,ALM,49.285665,-122.485421,129.0
74.0,Bennett,CBA4C38A,59.8441,-135.0002,702.0
